"","gene_name","AD4M","WT4M","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000142192","hAPP","102766.875797673","58.0134840913319","48647.9793550168","2.60086624825044","0.0822102571079717","31.6367609072741","1.1533921127941e-219","2.03377631248983e-215"
"ENSG00000080815","hPsen1","6613.75121354463","3.60338222436948","3110.28059503283","2.39275511678067","0.0819676321403079","29.191463194702","2.48883047732861e-187","2.19427739033677e-183"
"ENSMUSG00000032011","Thy1","72703.7346406114","33740.4846161439","53331.1056179638","0.976905986625358","0.0531078717784634","18.3947492887772","1.44728706654981e-75","8.50667094815762e-72"
"ENSMUSG00000018927","Ccl6","322.829466812296","30.9440935195107","136.746915909783","1.06204755738153","0.0763878904626274","13.903349744959","6.04449481799044e-44","2.66456442814063e-40"
"ENSMUSG00000068129","Cst7","588.761874528829","3.09767167097429","207.055776363938","0.533750148770082","0.0488594984313399","10.9241839541218","8.83308024313424e-28","3.11507407854372e-24"
"ENSMUSG00000046805","Mpeg1","2865.31390508928","1117.39507338998","1848.785639776","0.723652425497338","0.0822612115099116","8.79700665981737","1.40513972823526e-18","3.53954697542461e-15"
"ENSMUSG00000023992","Trem2","982.148942596419","352.239565544522","624.096886777044","0.71583646342293","0.0822634777599442","8.70175298826821","3.26796296114165e-18","7.20299886172634e-15"
"ENSMUSG00000030579","Tyrobp","923.718532667227","289.285366274242","550.376133189914","0.702169493206025","0.0809956048152117","8.66922958113587","4.35053973009992e-18","8.52367411787244e-15"
"ENSMUSG00000018774","Cd68","905.764437133989","361.66403225868","628.581523746559","0.657063902864694","0.0823437857467294","7.97952021401677","1.46903187350435e-15","2.59034390255023e-12"
"ENSMUSG00000007891","Ctsd","10114.1731047927","5237.34476479845","7273.6223101987","0.599853725310265","0.0796538155173708","7.53075946725301","5.04460407572695e-14","8.08650033339031e-11"
"ENSMUSG00000021423","Ly86","450.312331377651","200.820614837543","316.513590834241","0.614329116571529","0.0822635080864423","7.46782055447956","8.15339249337597e-14","1.19807308196415e-10"
"ENSMUSG00000028581","Laptm5","2163.35411744881","1308.16922182926","1632.80211341174","0.519951754193714","0.0746332542566178","6.96675710275101","3.24329914811586e-12","4.08493527705193e-09"
"ENSMUSG00000038642","Ctss","3996.44788795175","2222.5420508335","2989.89283841922","0.546638561559054","0.0790323045940126","6.916647114963","4.62458140641815e-12","5.43634959595808e-09"
"ENSMUSG00000044468","Tent5c","209.778650651918","76.5282494951405","132.534999725949","0.541022535993521","0.0792104561884051","6.8301908867521","8.48017173741132e-12","9.34567926536086e-09"
"ENSMUSG00000028859","Csf3r","535.253115071253","263.143859224476","373.141419343702","0.557517912650273","0.0821489510460576","6.78667110840764","1.14750391421265e-11","1.19023155995951e-08"
"ENSMUSG00000033880","Lgals3bp","882.797468670758","495.589917147447","669.801457501078","0.534382850048579","0.0791119408673046","6.75476854935093","1.43063450110592e-11","1.40146545322226e-08"
"ENSMUSG00000050272","Dscam","3414.77006322431","4120.06460006486","3759.79307057344","-0.255305828243186","0.038375686476277","-6.65280159616195","2.87565734510275e-11","2.66876136664194e-08"
"ENSMUSG00000027823","Gmps","2569.94460065662","3228.43704601735","2748.79412402015","-0.301540034210256","0.0458203678887815","-6.58091691760693","4.67555810955877e-11","3.92591029265952e-08"
"ENSMUSG00000025534","Gusb","769.456614050815","467.484214500154","586.183418563154","0.499451869820138","0.0762138248355634","6.55329752702662","5.62802247627386e-11","4.5108600147335e-08"
"ENSMUSG00000038147","Cd84","180.096003369845","68.9255189191952","131.736692726658","0.523277133292538","0.0802882430981825","6.51748142816671","7.14976698565679e-11","5.48138440252548e-08"
