userId	geneSymbol	geneName	entrezgene	gLink
Gna12	Gna12	guanine nucleotide binding protein, alpha 12	14673	https://www.ncbi.nlm.nih.gov/gene/?term=14673
Trim25	Trim25	tripartite motif-containing 25	217069	https://www.ncbi.nlm.nih.gov/gene/?term=217069
Scpep1	Scpep1	serine carboxypeptidase 1	74617	https://www.ncbi.nlm.nih.gov/gene/?term=74617
Itgb2	Itgb2	integrin beta 2	16414	https://www.ncbi.nlm.nih.gov/gene/?term=16414
Itga5	Itga5	integrin alpha 5 (fibronectin receptor alpha)	16402	https://www.ncbi.nlm.nih.gov/gene/?term=16402
Gm2a	Gm2a	GM2 ganglioside activator protein	14667	https://www.ncbi.nlm.nih.gov/gene/?term=14667
Hk2	Hk2	hexokinase 2	15277	https://www.ncbi.nlm.nih.gov/gene/?term=15277
Rpl13	Rpl13	ribosomal protein L13	270106	https://www.ncbi.nlm.nih.gov/gene/?term=270106
S100a6	S100a6	S100 calcium binding protein A6 (calcyclin)	20200	https://www.ncbi.nlm.nih.gov/gene/?term=20200
Lgals9	Lgals9	lectin, galactose binding, soluble 9	16859	https://www.ncbi.nlm.nih.gov/gene/?term=16859
Glmp	Glmp	glycosylated lysosomal membrane protein	56700	https://www.ncbi.nlm.nih.gov/gene/?term=56700
Tubb6	Tubb6	tubulin, beta 6 class V	67951	https://www.ncbi.nlm.nih.gov/gene/?term=67951
Tcirg1	Tcirg1	T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3	27060	https://www.ncbi.nlm.nih.gov/gene/?term=27060
Rin2	Rin2	Ras and Rab interactor 2	74030	https://www.ncbi.nlm.nih.gov/gene/?term=74030
Folh1	Folh1	folate hydrolase 1	53320	https://www.ncbi.nlm.nih.gov/gene/?term=53320
Capns1	Capns1	calpain, small subunit 1	12336	https://www.ncbi.nlm.nih.gov/gene/?term=12336
Vwf	Vwf	Von Willebrand factor	22371	https://www.ncbi.nlm.nih.gov/gene/?term=22371
Ssr4	Ssr4	signal sequence receptor, delta	20832	https://www.ncbi.nlm.nih.gov/gene/?term=20832
