geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	482	31	7.727802142497664	4.011489868447984	3.760303179944913e-11	3.053366182115269e-8	11438;11820;12552;13838;13869;14807;14810;16590;17754;18196;18751;18752;19058;19417;20320;20979;22318;54195;54376;54525;56077;65945;76376;108068;110891;207227;208898;213760;224860;232333;243931	Dgke;Grik3;Kit;Vamp2;Tshz3;Stxbp5l;App;Grm2;Prepl;Syt7;Epha4;Grin1;Map1a;Chrna4;Gucy1b1;Nsg1;Slc6a1;Slc8a2;Cdh11;Nptn;Rasgrf1;Ppp3r1;Syt1;Slc24a2;Plcl2;Clstn1;Prkcb;Unc13c;Erbb4;Cacng3;Prkcg
GO:0034765	regulation of ion transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0034765	439	25	7.038392407793515	3.5519474549781913	3.89192305050301e-8	1.580120758504222e-5	11438;16485;16490;16508;16524;16531;17918;19417;20265;20273;20866;22063;22318;54376;69635;72821;80334;93692;94253;110862;110876;226922;268345;269109;338370	Nalcn;Vamp2;Hecw1;Dapk1;Glrx;Scn8a;Chrna4;Kcnq5;Kcnip4;Stim1;Rasgrf1;Trpc1;Myo5a;Kcnc2;Dpp10;Kcnj9;Kcna2;Kcna1;Kcnq3;Kcnd2;Kcnma1;Scn1a;Cacng3;Scn2b;Scn2a
GO:0015672	monovalent inorganic cation transport	http://amigo.geneontology.org/amigo/term/GO:0015672	488	25	7.823998849665684	3.1952969933102993	2.954905427010601e-7	7.997944022442027e-5	11950;16485;16490;16508;16524;16526;16531;20265;20273;22318;23797;72821;74166;76376;80334;93692;94253;105727;110862;110876;110891;226922;268345;269109;338370	Nalcn;Atp5f1;Akt3;Vamp2;Hecw1;Glrx;Scn8a;Slc38a1;Kcnq5;Kcnip4;Slc8a2;Tmem38a;Kcnc2;Dpp10;Kcnk2;Slc24a2;Kcnj9;Kcna2;Kcna1;Kcnq3;Kcnd2;Kcnma1;Scn1a;Scn2b;Scn2a
GO:0035418	protein localization to synapse	http://amigo.geneontology.org/amigo/term/GO:0035418	82	10	1.314688331296283	7.6063655255386635	7.162633373081206e-7	1.454014574735485e-4	14810;17754;18196;22318;26414;54376;65945;224997;545156;665113	Dlgap1;Vamp2;Grin1;Map1a;Tnik;Nsg1;Clstn1;Mapk10;Kalrn;Cacng3
GO:0099003	vesicle-mediated transport in synapse	http://amigo.geneontology.org/amigo/term/GO:0099003	242	16	3.879933855776835	4.1237816402920355	1.8069004310561354e-6	2.934406300035164e-4	11438;18196;18751;18752;19058;20979;22318;26414;27062;54525;65945;207227;208898;213760;231570;320405	Vamp2;Stxbp5l;Prepl;Syt7;Chrna4;Nsg1;Ppp3r1;Syt1;Clstn1;Mapk10;Prkcb;Cadps;Unc13c;Prkcg;A830010M20Rik;Cadps2
GO:0050905	neuromuscular process	http://amigo.geneontology.org/amigo/term/GO:0050905	126	11	2.0201308505284348	5.4451918285999	5.678294336286527e-6	6.825076022938248e-4	11804;11820;12386;13191;14810;16485;16531;20265;20273;67772;235439	App;Scn8a;Grin1;Dctn1;Aplp2;Herc1;Kcna1;Chd8;Ctnna2;Kcnma1;Scn1a
GO:0007626	locomotory behavior	http://amigo.geneontology.org/amigo/term/GO:0007626	235	15	3.767704364080811	3.981204083579811	5.883686226670903e-6	6.825076022938248e-4	11438;11804;11820;13838;14810;16508;16531;17918;17978;20265;20273;26414;54713;80912;545156	Ncoa2;Fezf2;App;Scn8a;Epha4;Grin1;Chrna4;Pum1;Aplp2;Myo5a;Mapk10;Kcnd2;Kalrn;Kcnma1;Scn1a
GO:0050890	cognition	http://amigo.geneontology.org/amigo/term/GO:0050890	309	17	4.954130419153066	3.4314801108740767	1.0196462190026345e-5	0.001034940912287674	11438;11820;12669;14810;16526;16590;17754;18752;56710;66797;76376;110886;110891;224938;232333;234593;545156	Kit;App;Pja2;Grin1;Map1a;Chrna4;Brinp1;Slc6a1;Slc8a2;Chrm1;Ndrg4;Kcnk2;Slc24a2;Cntnap2;Gabra5;Kalrn;Prkcg
GO:0099072	regulation of postsynaptic membrane neurotransmitter receptor levels	http://amigo.geneontology.org/amigo/term/GO:0099072	91	9	1.4589833920483142	6.168678854777509	1.4935612666855391e-5	0.0013475241650540643	18196;19058;22318;26414;53310;54376;65945;545156;665113	Dlg3;Vamp2;Tnik;Nsg1;Ppp3r1;Clstn1;Mapk10;Kalrn;Cacng3
GO:0042391	regulation of membrane potential	http://amigo.geneontology.org/amigo/term/GO:0042391	425	20	6.813933424401466	2.9351622263255077	1.6936828771241252e-5	0.0013752704962247898	11438;11820;12669;14397;14807;14810;16485;16490;16508;16526;16531;20265;20273;72821;93692;110862;110876;110886;268345;338370	Nalcn;Grik3;Glrx;App;Scn8a;Grin1;Chrna4;Gabra4;Chrm1;Kcnc2;Kcnk2;Kcna2;Kcna1;Gabra5;Kcnq3;Kcnd2;Kcnma1;Scn1a;Scn2b;Scn2a
