geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
mmu04142	Lysosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu04142+110006+12512+12514+12751+12752+13030+13033+13036+13039+13040+14466+14667+15211+16783+16784+17159+17939+18173+19025+19141+192654+27060+56722+64138+67963+71665+75612	124	27	3.8810876132930514	6.956812803586997	6.661338147750939e-16	2.1382895454280515e-13	110006;12512;12514;12751;12752;13030;13033;13036;13039;13040;14466;14667;15211;16783;16784;17159;17939;18173;19025;19141;192654;27060;56722;64138;67963;71665;75612	Gm2a;Tcirg1;Man2b1;Ctsd;Ctsz;Lamp2;Ctsa;Cd68;Lgmn;Npc2;Ctsl;Ctsb;Naga;Litaf;Hexa;Cd63;Gusb;Slc11a1;Gba;Fuca1;Cln3;Tpp1;Pla2g15;Ctsh;Gns;Ctss;Lamp1
mmu04145	Phagosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu04145+13039+13040+13057+14130+14131+14964+14972+14998+15040+16402+16409+16412+16414+16419+16783+16784+17534+17969+27060+67951+73710	181	21	5.6651359516616315	3.70688367925937	1.9379680882281036e-7	3.110438781606106e-5	13039;13040;13057;14130;14131;14964;14972;14998;15040;16402;16409;16412;16414;16419;16783;16784;17534;17969;27060;67951;73710	Itgb2;Itga5;Tubb6;Tcirg1;Cyba;Ncf1;Lamp2;Mrc2;Ctsl;Itgb5;Itgb1;Fcgr2b;Itgam;H2-DMa;Ctss;Tubb2b;Fcgr3;H2-K1;H2-T23;H2-D1;Lamp1
mmu04380	Osteoclast differentiation	http://www.kegg.jp/kegg-bin/show_pathway?mmu04380+12977+12978+13057+14130+14131+15976+16391+16822+17060+17969+18033+20375+20963+21803+21813+21937+234779	128	17	4.006283987915408	4.243333735521236	4.293380262421209e-7	4.593916880790694e-5	12977;12978;13057;14130;14131;15976;16391;16822;17060;17969;18033;20375;20963;21803;21813;21937;234779	Spi1;Irf9;Tgfb1;Lcp2;Cyba;Csf1;Ncf1;Syk;Ifnar2;Csf1r;Fcgr2b;Nfkb1;Tnfrsf1a;Tgfbr2;Plcg2;Fcgr3;Blnk
mmu05150	Staphylococcus aureus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05150+12259+12260+12262+12267+12268+14130+14131+14998+16409+16414+20345	56	11	1.7527492447129909	6.275854936569223	9.754341883105866e-7	7.827859361192457e-5	12259;12260;12262;12267;12268;14130;14131;14998;16409;16414;20345	Itgb2;Fcgr2b;Itgam;C1qa;C1qc;C1qb;H2-DMa;C3ar1;Selplg;Fcgr3;C4b
mmu04611	Platelet activation	http://www.kegg.jp/kegg-bin/show_pathway?mmu04611+108101+11513+12842+14127+14678+16412+16822+18797+19224+20963+21391+21894+22371+234779+30955+54519	124	16	3.8810876132930514	4.1225557354589615	1.4036012605522785e-6	8.200951067760531e-5	108101;11513;12842;14127;14678;16412;16822;18797;19224;20963;21391;21894;22371;234779;30955;54519	Vwf;Lcp2;Pik3cg;Syk;Plcb3;Fermt3;Itgb1;Apbb1ip;Tln1;Tbxas1;Adcy7;Gnai2;Plcg2;Ptgs1;Fcer1g;Col1a1
mmu04512	ECM-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?mmu04512+12505+12826+12827+12842+14268+16402+16403+16404+16412+16419+16779+20750+22371	83	13	2.5978247734138975	5.004186630692654	1.5328880500486974e-6	8.200951067760531e-5	12505;12826;12827;12842;14268;16402;16403;16404;16412;16419;16779;20750;22371	Itga5;Vwf;Itgb5;Itga7;Itgb1;Fn1;Itga6;Spp1;Col4a1;Col4a2;Lamb2;Col1a1;Cd44
mmu05152	Tuberculosis	http://www.kegg.jp/kegg-bin/show_pathway?mmu05152+13033+13040+14127+14130+14131+14998+16149+16154+16409+16414+16783+16784+16985+17534+18033+20963+21803+21937+27060	178	19	5.571238670694864	3.4103726519456856	2.703553217742183e-6	1.2397722612789153e-4	13033;13040;14127;14130;14131;14998;16149;16154;16409;16414;16783;16784;16985;17534;18033;20963;21803;21937;27060	Itgb2;Tcirg1;Tgfb1;Ctsd;Lamp2;Lsp1;Mrc2;Syk;Cd74;Fcgr2b;Nfkb1;Tnfrsf1a;Itgam;Il10ra;H2-DMa;Ctss;Fcer1g;Fcgr3;Lamp1
mmu04810	Regulation of actin cytoskeleton	http://www.kegg.jp/kegg-bin/show_pathway?mmu04810+105855+11867+14173+14268+14673+14701+16402+16403+16404+16409+16412+16414+16419+17698+18595+19241+19354+219140+242687+29875+330662	215	21	6.729305135951662	3.120678818353237	3.3719543945931463e-6	1.3529967008305e-4	105855;11867;14173;14268;14673;14701;16402;16403;16404;16409;16412;16414;16419;17698;18595;19241;19354;219140;242687;29875;330662	Gna12;Itgb2;Itga5;Spata13;Nckap1l;Itgb5;Itga7;Itgb1;Fn1;Itga6;Wasf2;Pdgfra;Arpc1b;Iqgap1;Itgam;Msn;Rac2;Gng12;Fgf2;Tmsb4x;Dock1
mmu00511	Other glycan degradation	http://www.kegg.jp/kegg-bin/show_pathway?mmu00511+14466+15211+17159+17160+241159+71665	18	6	0.5633836858006043	10.64993564993565	1.1999937036266672e-5	4.1252667066085105e-4	14466;15211;17159;17160;241159;71665	Man2b1;Hexa;Gba;Fuca1;Man2b2;Neu4
mmu04670	Leukocyte transendothelial migration	http://www.kegg.jp/kegg-bin/show_pathway?mmu04670+12385+12562+13057+14678+16409+16412+16414+16456+17698+17969+19354+20469+22329+234779	115	14	3.5993957703927495	3.889541715628672	1.285129815142838e-5	4.1252667066085105e-4	12385;12562;13057;14678;16409;16412;16414;16456;17698;17969;19354;20469;22329;234779	Itgb2;Cyba;Ncf1;Itgb1;Itgam;Msn;Cdh5;Gnai2;Rac2;Plcg2;Ctnna1;F11r;Sipa1;Vcam1
mmu04610	Complement and coagulation cascades	http://www.kegg.jp/kegg-bin/show_pathway?mmu04610+12259+12260+12262+12267+12268+12759+16409+16414+18792+19128+21788+22371	88	12	2.754320241691843	4.356791856791856	1.694838970567325e-5	4.945848268655558e-4	12259;12260;12262;12267;12268;12759;16409;16414;18792;19128;21788;22371	Itgb2;Vwf;Plau;Clu;Pros1;Tfpi;Itgam;C1qa;C1qc;C1qb;C3ar1;C4b
mmu04151	PI3K-Akt signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04151+12826+12827+12842+12977+12978+12986+14173+14268+14701+14707+15976+16190+16402+16403+16404+16412+16419+16453+16779+18033+18414+18595+20750+208647+20963+22371+30955	358	27	11.205075528700906	2.409622311856949	1.8573267631327717e-5	4.968349091380164e-4	12826;12827;12842;12977;12978;12986;14173;14268;14701;14707;15976;16190;16402;16403;16404;16412;16419;16453;16779;18033;18414;18595;20750;208647;20963;22371;30955	Itga5;Vwf;Csf1;Pik3cg;Syk;Osmr;Itgb5;Ifnar2;Csf1r;Itga7;Itgb1;Fn1;Itga6;Nfkb1;Csf3r;Pdgfra;Spp1;Il4ra;Col4a1;Col4a2;Jak3;Gng12;Fgf2;Creb3l2;Lamb2;Gng5;Col1a1
mmu05133	Pertussis	http://www.kegg.jp/kegg-bin/show_pathway?mmu05133+12259+12260+12262+12268+14678+15900+16402+16409+16412+16414+18033	76	11	2.3787311178247736	4.624314163787847	2.1549320812663808e-5	5.321024600665449e-4	12259;12260;12262;12268;14678;15900;16402;16409;16412;16414;18033	Itgb2;Itga5;Itgb1;Nfkb1;Itgam;Gnai2;C1qa;C1qc;C1qb;Irf8;C4b
mmu05145	Toxoplasmosis	http://www.kegg.jp/kegg-bin/show_pathway?mmu05145+12774+14678+14998+16154+16403+16412+16779+16835+18033+20848+21803+21937+30955	108	13	3.3803021148036256	3.8458100958100956	2.9708409421180804e-5	6.811713874427884e-4	12774;14678;14998;16154;16403;16412;16779;16835;18033;20848;21803;21937;30955	Tgfb1;Stat3;Pik3cg;Itgb1;Itga6;Nfkb1;Tnfrsf1a;Il10ra;Ldlr;Gnai2;H2-DMa;Lamb2;Ccr5
