geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
WP3625	TYROBP Causal Network	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3625&label[]=Itgb2&label[]=Tcirg1&label[]=Il13ra1&label[]=Adap2&label[]=Npc2&label[]=Nckap1l&label[]=Apbb1ip&label[]=Tnfrsf1b&label[]=Spp1&label[]=Itgam&label[]=Cd37&label[]=Il10ra&label[]=Ppp1r18&label[]=C1qc&label[]=Creb3l2&label[]=Lhfpl2&label[]=Gpx1&label[]=Bin2&colors=steelblue	58	18	2.3403508771929826	7.691154422788605	3.859801367411819e-12	6.677456365622447e-10	16154;14775;54519;16164;208647;16409;20750;216991;218454;67963;12493;668218;76448;16414;27060;12262;21938;105855	Itgb2;Tcirg1;Il13ra1;Adap2;Npc2;Nckap1l;Apbb1ip;Tnfrsf1b;Spp1;Itgam;Cd37;Il10ra;Ppp1r18;C1qc;Creb3l2;Lhfpl2;Gpx1;Bin2
WP3626	Microglia Pathogen Phagocytosis Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3626&label[]=Itgb2&label[]=Cyba&label[]=Ncf1&label[]=Pik3cg&label[]=Syk&label[]=Nckap1l&label[]=Arpc1b&label[]=Itgam&label[]=Rac2&label[]=Plcg2&label[]=C1qa&label[]=C1qc&label[]=C1qb&label[]=Fcer1g&colors=steelblue	41	14	1.6543859649122807	8.462354188759278	2.515518904289138e-10	2.1759238522101043e-8	11867;16414;17969;12259;234779;12260;12262;19354;20963;16409;105855;14127;30955;13057	Itgb2;Cyba;Ncf1;Pik3cg;Syk;Nckap1l;Arpc1b;Itgam;Rac2;Plcg2;C1qa;C1qc;C1qb;Fcer1g
WP374	Prostaglandin Synthesis and Regulation	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP374&label[]=S100a6&label[]=Anxa5&label[]=Anxa3&label[]=Tbxas1&label[]=Anxa4&label[]=Hpgd&label[]=Anxa2&label[]=S100a10&label[]=Ptgs1&colors=steelblue	31	9	1.2508771929824563	7.194950911640953	2.1797933282829973e-6	1.257014152643195e-4	19224;11746;11745;11747;15446;20194;20200;12306;21391	S100a6;Anxa5;Anxa3;Tbxas1;Anxa4;Hpgd;Anxa2;S100a10;Ptgs1
WP85	Focal Adhesion	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP85&label[]=Itgb2&label[]=Itga5&label[]=Vwf&label[]=Pik3cg&label[]=Itgb5&label[]=Itga7&label[]=Itgb1&label[]=Fn1&label[]=Itga6&label[]=Tln1&label[]=Pdgfra&label[]=Spp1&label[]=Itgam&label[]=Col4a1&label[]=Col4a2&label[]=Rac2&label[]=Lamb2&label[]=Dock1&label[]=Col1a1&colors=steelblue	185	19	7.464912280701754	2.54524089306698	1.3547150289949794e-4	0.005859142500403286	19354;16409;16404;16403;16402;12842;18595;330662;21894;12826;12827;14268;20750;22371;16414;16412;16419;16779;30955	Itgb2;Itga5;Vwf;Pik3cg;Itgb5;Itga7;Itgb1;Fn1;Itga6;Tln1;Pdgfra;Spp1;Itgam;Col4a1;Col4a2;Rac2;Lamb2;Dock1;Col1a1
WP2841	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2841&label[]=Itgb2&label[]=Itga5&label[]=Vwf&label[]=Csf1&label[]=Pik3cg&label[]=Osmr&label[]=Itgb5&label[]=Ifnar2&label[]=Csf1r&label[]=Itga7&label[]=Itgb1&label[]=Fn1&label[]=Itga6&label[]=Csf3r&label[]=Pdgfra&label[]=Spp1&label[]=Il4ra&label[]=Itgam&label[]=Col4a1&label[]=Col4a2&label[]=Jak3&label[]=Gng12&label[]=Fgf2&label[]=Creb3l2&label[]=Lamb2&label[]=Gng5&label[]=Col1a1&colors=steelblue	325	27	13.114035087719298	2.0588628762541807	2.095856443540267e-4	0.007251663294649324	16190;16409;16404;16403;16402;12842;18595;12826;12827;20750;22371;15976;14173;18414;208647;16453;14707;14268;14701;12977;12978;16414;16412;16419;16779;30955;12986	Itgb2;Itga5;Vwf;Csf1;Pik3cg;Osmr;Itgb5;Ifnar2;Csf1r;Itga7;Itgb1;Fn1;Itga6;Csf3r;Pdgfra;Spp1;Il4ra;Itgam;Col4a1;Col4a2;Jak3;Gng12;Fgf2;Creb3l2;Lamb2;Gng5;Col1a1
WP2271	Macrophage markers	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2271&label[]=Cd68&label[]=Cd74&label[]=Rac2&label[]=Lyz2&colors=steelblue	10	4	0.4035087719298246	9.91304347826087	4.451585170939243e-4	0.012835403909541482	19354;16149;17105;12514	Cd68;Cd74;Rac2;Lyz2
WP6	Integrin-mediated Cell Adhesion	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP6&label[]=Itgb2&label[]=Itga5&label[]=Capns1&label[]=Itgb5&label[]=Itga7&label[]=Itgb1&label[]=Itga6&label[]=Tln1&label[]=Itgam&label[]=Rac2&label[]=Dock1&label[]=Capn3&colors=steelblue	100	12	4.035087719298246	2.9739130434782606	6.07688381590421e-4	0.01501858428787755	19354;16409;16404;16403;16402;330662;21894;16414;16412;16419;12335;12336	Itgb2;Itga5;Capns1;Itgb5;Itga7;Itgb1;Itga6;Tln1;Itgam;Rac2;Dock1;Capn3
WP449	Complement and Coagulation Cascades	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP449&label[]=Vwf&label[]=Plau&label[]=Pros1&label[]=Tfpi&label[]=C1qa&label[]=C1qc&label[]=C1qb&label[]=C3ar1&label[]=C4b&colors=steelblue	62	9	2.5017543859649125	3.5974754558204767	7.425087704722166e-4	0.016056752161461685	21788;19128;18792;22371;12259;12260;12262;12268;12267	Vwf;Plau;Pros1;Tfpi;C1qa;C1qc;C1qb;C3ar1;C4b
WP458	Inflammatory Response Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP458&label[]=Fn1&label[]=Tnfrsf1b&label[]=Tnfrsf1a&label[]=Il4ra&label[]=Lamb2&label[]=Col1a1&colors=steelblue	30	6	1.2105263157894737	4.956521739130435	0.001050981122054484	0.02020219267949175	16190;16779;21938;21937;14268;12842	Fn1;Tnfrsf1b;Tnfrsf1a;Il4ra;Lamb2;Col1a1
WP1496	Oxidative Damage	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1496&label[]=Nfkb1&label[]=Tnfrsf1b&label[]=C1qa&label[]=C1qc&label[]=C1qb&label[]=C3ar1&label[]=C4b&colors=steelblue	42	7	1.694736842105263	4.130434782608696	0.0012632887359782519	0.02185489513242376	18033;12259;12260;12262;21938;12268;12267	Nfkb1;Tnfrsf1b;C1qa;C1qc;C1qb;C3ar1;C4b
WP2573	Primary Focal Segmental Glomerulosclerosis FSGS	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2573&label[]=Tgfb1&label[]=Ctsl&label[]=Lrp5&label[]=Plce1&label[]=Cd151&label[]=Itgb1&label[]=Vim&label[]=Tln1&label[]=Lamb2&colors=steelblue	72	9	2.905263157894737	3.0978260869565215	0.002201084738822301	0.03285491633324023	22352;12476;21803;74055;16973;16412;16779;21894;13039	Tgfb1;Ctsl;Lrp5;Plce1;Cd151;Itgb1;Vim;Tln1;Lamb2
WP163	Cytoplasmic Ribosomal Proteins	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP163&label[]=Rpl13&label[]=Rplp1&label[]=Rpl10&label[]=Rps5&label[]=Rpl10a&label[]=Rpl12&label[]=Rps2&label[]=Rps10&label[]=Rps12&label[]=Rplp0&label[]=Rpl41&colors=steelblue	101	11	4.075438596491228	2.6990959965561774	0.0022789537340975885	0.03285491633324023	67945;20103;20042;56040;11837;269261;16898;19896;270106;110954;67097	Rpl13;Rplp1;Rpl10;Rps5;Rpl10a;Rpl12;Rps2;Rps10;Rps12;Rplp0;Rpl41
WP200	Complement Activation, Classical Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP200&label[]=C1qa&label[]=C1qc&label[]=C1qb&label[]=C4b&colors=steelblue	17	4	0.6859649122807018	5.831202046035806	0.004039500063753421	0.05375642392533399	12260;12262;12268;12259	C1qa;C1qc;C1qb;C4b
