geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
mmu04721	Synaptic vesicle cycle	http://www.kegg.jp/kegg-bin/show_pathway?mmu04721+12889+13429+18195+19339+208898+20910+20979+22318+22348+235415+76252	62	11	1.5059818731117824	7.3042047825389185	2.2725247306176755e-7	7.294804385282738e-5	12889;13429;18195;19339;208898;20910;20979;22318;22348;235415;76252	Rab3a;Syt1;Stxbp1;Slc32a1;Dnm1;Cplx3;Nsf;Vamp2;Atp6v0e2;Cplx1;Unc13c
mmu04727	GABAergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?mmu04727+105727+110886+14397+14415+14704+14706+18195+18751+18752+22348+232333	88	11	2.137522658610272	5.1461442786069655	8.241189145885564e-6	0.001322710857914633	105727;110886;14397;14415;14704;14706;18195;18751;18752;22348;232333	Gad1;Gabra5;Slc32a1;Slc38a1;Prkcb;Gng4;Nsf;Slc6a1;Prkcg;Gng3;Gabra4
mmu04724	Glutamatergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?mmu04724+105727+108068+14704+14706+14807+14810+18751+18752+19058+22063+224997+268934	114	12	2.7690634441087614	4.333595181984813	1.9122979832530973e-5	0.00176612287317518	105727;108068;14704;14706;14807;14810;18751;18752;19058;22063;224997;268934	Grik3;Slc38a1;Prkcb;Gng4;Grin1;Dlgap1;Prkcg;Grm4;Gng3;Ppp3r1;Grm2;Trpc1
mmu04728	Dopaminergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?mmu04728+12314+14704+14706+16524+18751+18752+20265+21770+23797+26414+26419+26420+71978	135	13	3.279154078549849	3.96443707388981	2.2535609696339165e-5	0.00176612287317518	12314;14704;14706;16524;18751;18752;20265;21770;23797;26414;26419;26420;71978	Mapk9;Calm2;Mapk10;Prkcb;Kcnj9;Ppp2r2a;Gng4;Ppp2r5d;Prkcg;Scn1a;Gng3;Akt3;Mapk8
mmu04010	MAPK signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04010+13869+14180+16590+16765+17762+18218+18479+18751+18752+19058+19417+23797+26404+26414+26419+26420+26940+54376+56808+76089	294	20	7.141268882175226	2.8006227366568517	2.864631675592033e-5	0.00176612287317518	13869;14180;16590;16765;17762;18218;18479;18751;18752;19058;19417;23797;26404;26414;26419;26420;26940;54376;56808;76089	Mapt;Mapk9;Rapgef2;Erbb4;Rasgrf1;Stmn1;Mapk10;Prkcb;Cacna2d2;Pak1;Prkcg;Kit;Ppp3r1;Akt3;Cacng3;Mapk8;Fgf9;Dusp8;Map3k12;Ecsit
mmu04012	ErbB signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04012+13869+18183+18479+18751+18752+23797+26414+26419+26420+56717	84	10	2.0403625377643504	4.9010897891494904	3.30116424892557e-5	0.00176612287317518	13869;18183;18479;18751;18752;23797;26414;26419;26420;56717	Mapk9;Erbb4;Mapk10;Prkcb;Pak1;Prkcg;Nrg3;Mtor;Akt3;Mapk8
mmu04970	Salivary secretion	http://www.kegg.jp/kegg-bin/show_pathway?mmu04970+11931+12314+16531+18751+18752+22318+232975+320707+54195	78	9	1.8946223564954683	4.750287026406429	1.0529565194961066e-4	0.004828557753689289	11931;12314;16531;18751;18752;22318;232975;320707;54195	Atp2b3;Atp1b1;Gucy1b1;Calm2;Prkcb;Vamp2;Prkcg;Kcnma1;Atp1a3
mmu04014	Ras signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04014+12314+14180+14704+14706+14810+16590+18479+18751+18752+19417+21844+23797+26414+26419+26420+333050	233	16	5.659577039274924	2.827066384814127	1.6673103400188793e-4	0.006600883034990142	12314;14180;14704;14706;14810;16590;18479;18751;18752;19417;21844;23797;26414;26419;26420;333050	Mapk9;Rasgrf1;Calm2;Mapk10;Prkcb;Gng4;Grin1;Pak1;Prkcg;Kit;Gng3;Ksr2;Akt3;Tiam1;Mapk8;Fgf9
mmu00270	Cysteine and methionine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?mmu00270+108645+12035+14719+16832+17448+17449+20603	50	7	1.214501510574018	5.763681592039801	1.8507148696234044e-4	0.006600883034990142	108645;12035;14719;16832;17448;17449;20603	Got2;Mat2b;Mdh1;Ldhb;Bcat1;Mdh2;Sms
mmu04960	Aldosterone-regulated sodium reabsorption	http://www.kegg.jp/kegg-bin/show_pathway?mmu04960+11931+18751+18752+20276+232975+83814	38	6	0.9230211480362538	6.500392772977219	2.7504222494734165e-4	0.008828855420809667	11931;18751;18752;20276;232975;83814	Atp1b1;Prkcb;Nedd4l;Prkcg;Atp1a3;Scnn1a
