userId	geneSymbol	geneName	entrezgene	gLink
Stmn4	Stmn4	stathmin-like 4	56471	https://www.ncbi.nlm.nih.gov/gene/?term=56471
Gad1	Gad1	glutamate decarboxylase 1	14415	https://www.ncbi.nlm.nih.gov/gene/?term=14415
Mme	Mme	membrane metallo endopeptidase	17380	https://www.ncbi.nlm.nih.gov/gene/?term=17380
Ndrg3	Ndrg3	N-myc downstream regulated gene 3	29812	https://www.ncbi.nlm.nih.gov/gene/?term=29812
Arpp21	Arpp21	cyclic AMP-regulated phosphoprotein, 21	74100	https://www.ncbi.nlm.nih.gov/gene/?term=74100
Lgi2	Lgi2	leucine-rich repeat LGI family, member 2	246316	https://www.ncbi.nlm.nih.gov/gene/?term=246316
Rab6b	Rab6b	RAB6B, member RAS oncogene family	270192	https://www.ncbi.nlm.nih.gov/gene/?term=270192
Ankrd34b	Ankrd34b	ankyrin repeat domain 34B	218440	https://www.ncbi.nlm.nih.gov/gene/?term=218440
Rab3b	Rab3b	RAB3B, member RAS oncogene family	69908	https://www.ncbi.nlm.nih.gov/gene/?term=69908
Rab3a	Rab3a	RAB3A, member RAS oncogene family	19339	https://www.ncbi.nlm.nih.gov/gene/?term=19339
Mapt	Mapt	microtubule-associated protein tau	17762	https://www.ncbi.nlm.nih.gov/gene/?term=17762
Etl4	Etl4	enhancer trap locus 4	208618	https://www.ncbi.nlm.nih.gov/gene/?term=208618
Cadps	Cadps	Ca2+-dependent secretion activator	27062	https://www.ncbi.nlm.nih.gov/gene/?term=27062
Syt1	Syt1	synaptotagmin I	20979	https://www.ncbi.nlm.nih.gov/gene/?term=20979
Vmp1	Vmp1	vacuole membrane protein 1	75909	https://www.ncbi.nlm.nih.gov/gene/?term=75909
Atp2b3	Atp2b3	ATPase, Ca++ transporting, plasma membrane 3	320707	https://www.ncbi.nlm.nih.gov/gene/?term=320707
Dscam	Dscam	DS cell adhesion molecule	13508	https://www.ncbi.nlm.nih.gov/gene/?term=13508
Dock3	Dock3	dedicator of cyto-kinesis 3	208869	https://www.ncbi.nlm.nih.gov/gene/?term=208869
Serpini1	Serpini1	serine (or cysteine) peptidase inhibitor, clade I, member 1	20713	https://www.ncbi.nlm.nih.gov/gene/?term=20713
Jade1	Jade1	jade family PHD finger 1	269424	https://www.ncbi.nlm.nih.gov/gene/?term=269424
Zfp30	Zfp30	zinc finger protein 30	22693	https://www.ncbi.nlm.nih.gov/gene/?term=22693
Fto	Fto	fat mass and obesity associated	26383	https://www.ncbi.nlm.nih.gov/gene/?term=26383
Rusc1	Rusc1	RUN and SH3 domain containing 1	72296	https://www.ncbi.nlm.nih.gov/gene/?term=72296
Cort	Cort	cortistatin	12854	https://www.ncbi.nlm.nih.gov/gene/?term=12854
Gabra5	Gabra5	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5	110886	https://www.ncbi.nlm.nih.gov/gene/?term=110886
Parm1	Parm1	prostate androgen-regulated mucin-like protein 1	231440	https://www.ncbi.nlm.nih.gov/gene/?term=231440
