geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
WP3625	TYROBP Causal Network	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3625&label[]=Tyrobp&label[]=Itgax&label[]=Itgb2&label[]=Plek&label[]=C1qc&label[]=Cd84&label[]=Nckap1l&label[]=Cd37&label[]=Npc2&label[]=Hcls1&label[]=Ncf2&label[]=Itgam&label[]=Il13ra1&label[]=Bin2&label[]=Spp1&label[]=Apbb1ip&label[]=Tcirg1&label[]=Tgfbr1&label[]=Il10ra&label[]=Gpx1&label[]=Lhfpl2&label[]=Tnfrsf1b&label[]=Ppp1r18&label[]=Adap2&label[]=Creb3l2&label[]=Loxl3&colors=steelblue	58	26	3.4596491228070176	7.515212981744422	0	0	16154;16950;14775;54519;17970;16164;208647;16409;12523;15163;20750;216991;16411;218454;67963;12493;22177;56193;668218;76448;16414;27060;12262;21938;21812;105855	Tyrobp;Itgax;Itgb2;Plek;C1qc;Cd84;Nckap1l;Cd37;Npc2;Hcls1;Ncf2;Itgam;Il13ra1;Bin2;Spp1;Apbb1ip;Tcirg1;Tgfbr1;Il10ra;Gpx1;Lhfpl2;Tnfrsf1b;Ppp1r18;Adap2;Creb3l2;Loxl3
WP3626	Microglia Pathogen Phagocytosis Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3626&label[]=Tyrobp&label[]=Trem2&label[]=Itgb2&label[]=C1qa&label[]=C1qc&label[]=C1qb&label[]=Nckap1l&label[]=Fcer1g&label[]=Ptpn6&label[]=Cyba&label[]=Ncf2&label[]=Vav1&label[]=Itgam&label[]=Arpc1b&label[]=Fcgr1&label[]=Lyn&label[]=Pik3cg&label[]=Ncf1&label[]=Plcg2&label[]=Rac2&label[]=Syk&colors=steelblue	41	21	2.4456140350877194	8.586800573888091	8.881784197001252e-16	7.682743330406083e-14	22177;11867;83433;16414;17969;12259;234779;17970;12260;12262;19354;17096;15170;22324;20963;16409;105855;14127;30955;13057;14129	Tyrobp;Trem2;Itgb2;C1qa;C1qc;C1qb;Nckap1l;Fcer1g;Ptpn6;Cyba;Ncf2;Vav1;Itgam;Arpc1b;Fcgr1;Lyn;Pik3cg;Ncf1;Plcg2;Rac2;Syk
WP163	Cytoplasmic Ribosomal Proteins	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP163&label[]=Rplp0&label[]=Rps12&label[]=Rpl39&label[]=Rpl12&label[]=Rpl10&label[]=Rps4x&label[]=Rps11&label[]=Rpl34&label[]=Rpl36a&label[]=Rpl35&label[]=Rpl32&label[]=Rpl13&label[]=Rplp1&label[]=Rpl10a&label[]=Rps18&label[]=Rps10&label[]=Rps2&label[]=Rpl7&label[]=Rpl41&label[]=Rpl35a&label[]=Rps8&label[]=Rpl27a&label[]=Rps5&label[]=Rps23&colors=steelblue	101	24	6.024561403508772	3.9836924868957486	2.4874962090137842e-9	1.434456147197949e-7	19982;67945;19989;20103;20102;66475;57808;20042;66489;56040;68436;27207;19951;11837;269261;67248;20116;26451;16898;19896;270106;110954;20084;67097	Rplp0;Rps12;Rpl39;Rpl12;Rpl10;Rps4x;Rps11;Rpl34;Rpl36a;Rpl35;Rpl32;Rpl13;Rplp1;Rpl10a;Rps18;Rps10;Rps2;Rpl7;Rpl41;Rpl35a;Rps8;Rpl27a;Rps5;Rps23
WP374	Prostaglandin Synthesis and Regulation	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP374&label[]=Tbxas1&label[]=S100a6&label[]=Hpgd&label[]=Anxa3&label[]=Ptgs1&label[]=Anxa2&label[]=Anxa4&label[]=S100a10&label[]=Anxa5&label[]=Ednrb&colors=steelblue	31	10	1.8491228070175438	5.407969639468691	7.008317568613087e-6	3.03109734842516e-4	19224;11746;11745;11747;15446;20194;20200;12306;13618;21391	Tbxas1;S100a6;Hpgd;Anxa3;Ptgs1;Anxa2;Anxa4;S100a10;Anxa5;Ednrb
WP85	Focal Adhesion	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP85&label[]=Itgax&label[]=Itgb2&label[]=Itgb5&label[]=Vav1&label[]=Itgam&label[]=Pik3cg&label[]=Tln1&label[]=Spp1&label[]=Itga6&label[]=Rac2&label[]=Itgb3&label[]=Col4a2&label[]=Col4a1&label[]=Lamb2&label[]=Itgb1&label[]=Itga5&label[]=Fn1&label[]=Elk1&label[]=Col1a1&label[]=Itga7&label[]=Flna&label[]=Vwf&label[]=Col3a1&label[]=Dock1&label[]=Pdgfra&label[]=Selenop&colors=steelblue	185	26	11.035087719298245	2.3561208267090623	2.8877743653232812e-5	9.991699304018554e-4	19354;16409;16404;16403;16402;12842;18595;330662;192176;21894;12825;12826;12827;22324;14268;20750;16411;22371;16414;16412;16419;16416;16779;20363;30955;13712	Itgax;Itgb2;Itgb5;Vav1;Itgam;Pik3cg;Tln1;Spp1;Itga6;Rac2;Itgb3;Col4a2;Col4a1;Lamb2;Itgb1;Itga5;Fn1;Elk1;Col1a1;Itga7;Flna;Vwf;Col3a1;Dock1;Pdgfra;Selenop
WP103	Cholesterol Biosynthesis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP103&label[]=Msmo1&label[]=Sqle&label[]=Hmgcs1&label[]=Fdps&label[]=Nsdhl&label[]=Lss&colors=steelblue	15	6	0.8947368421052632	6.705882352941177	1.3500703093771715e-4	0.0038927027253708446	20775;66234;18194;208715;110196;16987	Msmo1;Sqle;Hmgcs1;Fdps;Nsdhl;Lss
WP151	IL-5 Signaling Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP151&label[]=Itgb2&label[]=Ptpn6&label[]=Hcls1&label[]=Vav1&label[]=Itgam&label[]=Prkcd&label[]=Lyn&label[]=Pik3cg&label[]=Stat3&label[]=Dnm2&label[]=Elk1&label[]=Syk&label[]=Nfkb1&colors=steelblue	69	13	4.1157894736842104	3.1585677749360617	1.7138999449217707e-4	0.004235781292449519	17096;22324;16409;15163;18753;18033;16414;13430;20848;15170;20963;30955;13712	Itgb2;Ptpn6;Hcls1;Vav1;Itgam;Prkcd;Lyn;Pik3cg;Stat3;Dnm2;Elk1;Syk;Nfkb1
WP6	Integrin-mediated Cell Adhesion	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP6&label[]=Itgax&label[]=Itgb2&label[]=Itgb5&label[]=Itgam&label[]=Tln1&label[]=Itga6&label[]=Rac2&label[]=Capn3&label[]=Itgb3&label[]=Itgb1&label[]=Itga5&label[]=Capns1&label[]=Itga7&label[]=Itga1&label[]=Dock1&label[]=Selenop&colors=steelblue	100	16	5.964912280701754	2.682352941176471	2.341829612634294e-4	0.005064206537321661	19354;16409;16404;16403;16402;330662;109700;21894;16411;16414;16412;16419;12335;16416;12336;20363	Itgax;Itgb2;Itgb5;Itgam;Tln1;Itga6;Rac2;Capn3;Itgb3;Itgb1;Itga5;Capns1;Itga7;Itga1;Dock1;Selenop
WP1	Statin Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1&label[]=Lpl&label[]=Apoe&label[]=Ldlr&label[]=Lcat&label[]=Abca1&label[]=Soat1&colors=steelblue	19	6	1.1333333333333333	5.294117647058823	5.972220696337516e-4	0.011479935338515447	20652;16816;11816;16835;16956;11303	Lpl;Apoe;Ldlr;Lcat;Abca1;Soat1
WP458	Inflammatory Response Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP458&label[]=Tnfrsf1a&label[]=Il4ra&label[]=Lamb2&label[]=Fn1&label[]=Tnfrsf1b&label[]=Col1a1&label[]=Col3a1&colors=steelblue	30	7	1.7894736842105263	3.911764705882353	0.0015427577701012662	0.02668970942275191	16190;16779;21938;21937;12825;14268;12842	Tnfrsf1a;Il4ra;Lamb2;Fn1;Tnfrsf1b;Col1a1;Col3a1
