geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
mmu04721	Synaptic vesicle cycle	http://www.kegg.jp/kegg-bin/show_pathway?mmu04721+12889+13429+18195+19339+208898+20910+22318+235415+76252	62	9	0.9515407854984895	9.458343916687832	3.631118871139094e-7	1.1655891576356492e-4	12889;13429;18195;19339;208898;20910;22318;235415;76252	Vamp2;Stxbp1;Dnm1;Rab3a;Cplx1;Nsf;Atp6v0e2;Cplx3;Unc13c
mmu04727	GABAergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?mmu04727+105727+14397+14415+14704+14706+18195+232333	88	7	1.3505740181268884	5.18298138869005	3.849162331589495e-4	0.0617790554220114	105727;14397;14415;14704;14706;18195;232333	Gng4;Slc38a1;Gabra4;Slc6a1;Nsf;Gad1;Gng3
mmu00270	Cysteine and methionine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?mmu00270+14719+16832+17448+17449+20603	50	5	0.7673716012084593	6.515748031496063	9.591089784963813e-4	0.1026246606991128	14719;16832;17448;17449;20603	Mdh2;Mdh1;Got2;Sms;Ldhb
mmu00020	Citrate cycle (TCA cycle)	http://www.kegg.jp/kegg-bin/show_pathway?mmu00020+15929+17448+17449+78920	32	4	0.4911178247734139	8.144685039370078	0.0013641129633659155	0.10947006531011472	15929;17448;17449;78920	Idh3g;Dlst;Mdh2;Mdh1
mmu04724	Glutamatergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?mmu04724+105727+14704+14706+14807+14810+22063+268934	114	7	1.7496072507552871	4.000897914076529	0.001796460633117558	0.11533277264614723	105727;14704;14706;14807;14810;22063;268934	Grik3;Gng4;Slc38a1;Grin1;Trpc1;Grm4;Gng3
mmu04137	Mitophagy	http://www.kegg.jp/kegg-bin/show_pathway?mmu04137+170731+17684+245860+26414+26420	63	5	0.9668882175226586	5.171228596425447	0.002715416913140478	0.1410058018560184	170731;17684;245860;26414;26420	Mapk9;Mfn2;Atg9a;Cited2;Mapk10
mmu04024	cAMP signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04024+11931+11938+12669+14810+18479+21844+232975+26414+26420	198	9	3.038791540785499	2.9617036506800285	0.003337010665588336	0.1410058018560184	11931;11938;12669;14810;18479;21844;232975;26414;26420	Tiam1;Mapk9;Atp1b1;Grin1;Atp2a2;Pak1;Chrm1;Atp1a3;Mapk10
mmu04140	Autophagy	http://www.kegg.jp/kegg-bin/show_pathway?mmu04140+245860+26414+26420+51897+56717+75909+97998	130	7	1.9951661631419941	3.5084797092671107	0.0037708009222372496	0.1410058018560184	245860;26414;26420;51897;56717;75909;97998	Vmp1;Mapk9;Deptor;Atg13;Mtor;Atg9a;Mapk10
mmu04962	Vasopressin-regulated water reabsorption	http://www.kegg.jp/kegg-bin/show_pathway?mmu04962+13191+13426+18195+22318	43	4	0.659939577039275	6.061160959531221	0.004111637807059365	0.1410058018560184	13191;13426;18195;22318	Vamp2;Dync1i1;Dctn1;Nsf
mmu04964	Proximal tubule bicarbonate reclamation	http://www.kegg.jp/kegg-bin/show_pathway?mmu04964+11931+17449+232975	22	3	0.3376435045317221	8.885110952040085	0.004392704107664125	0.1410058018560184	11931;17449;232975	Mdh1;Atp1b1;Atp1a3
