geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
WP662	Amino Acid metabolism	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP662&label[]=Mdh2&label[]=Auh&label[]=Bcat1&colors=steelblue	96	3	0.3157894736842105	9.5	0.0034239750800328927	0.5923476888456904	12035;17448;11992	Mdh2;Auh;Bcat1
WP2910	Mecp2 and Associated Rett Syndrome	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2910&label[]=Sst&label[]=Gad1&colors=steelblue	47	2	0.15460526315789472	12.936170212765958	0.01002485870239811	0.7024306607112735	14415;20604	Sst;Gad1
WP1770	One carbon metabolism and related pathways	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1770&label[]=Bcat1&label[]=Gad1&colors=steelblue	52	2	0.17105263157894735	11.692307692307693	0.012180878509444049	0.7024306607112735	12035;14415	Bcat1;Gad1
WP2084	SREBF and miR33 in cholesterol and lipid homeostasis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2084&label[]=Mtor&colors=steelblue	11	1	0.03618421052631579	27.636363636363637	0.035633358130750525	1	56717	Mtor
WP240	Alanine and aspartate metabolism	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP240&label[]=Gad1&colors=steelblue	15	1	0.049342105263157895	20.266666666666666	0.048294456085490545	1	14415	Gad1
WP327	GPCRs, Class C Metabotropic glutamate, pheromone	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP327&label[]=Grm4&colors=steelblue	15	1	0.049342105263157895	20.266666666666666	0.048294456085490545	1	268934	Grm4
WP522	Biogenic Amine Synthesis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP522&label[]=Gad1&colors=steelblue	15	1	0.049342105263157895	20.266666666666666	0.048294456085490545	1	14415	Gad1
WP1251	Metapathway biotransformation	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1251&label[]=Kcnab1&label[]=Hs6st1&colors=steelblue	141	2	0.4638157894736842	4.3120567375886525	0.07664374736936375	1	16497;50785	Kcnab1;Hs6st1
WP3855	Dysregulated miRNA Targeting in Insulin/PI3K-AKT Signaling	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3855&label[]=Mtor&colors=steelblue	26	1	0.08552631578947367	11.692307692307693	0.08231712148275361	1	56717	Mtor
WP431	Nuclear receptors in lipid metabolism and toxicity	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP431&label[]=Abcg1&colors=steelblue	30	1	0.09868421052631579	10.133333333333333	0.09440498640794981	1	11307	Abcg1
WP434	TCA Cycle	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP434&label[]=Mdh2&colors=steelblue	31	1	0.10197368421052631	9.806451612903226	0.09740364539335378	1	17448	Mdh2
WP3675	Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP3675&label[]=Mtor&colors=steelblue	31	1	0.10197368421052631	9.806451612903226	0.09740364539335378	1	56717	Mtor
WP150	DNA Replication	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP150&label[]=Prim2&colors=steelblue	41	1	0.13486842105263158	7.414634146341463	0.1268847847757376	1	19076	Prim2
WP1261	ErbB signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1261&label[]=Mtor&colors=steelblue	46	1	0.1513157894736842	6.608695652173913	0.1412859746699896	1	56717	Mtor
WP157	Glycolysis and Gluconeogenesis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP157&label[]=Mdh2&colors=steelblue	51	1	0.16776315789473684	5.96078431372549	0.15546522207036106	1	17448	Mdh2
WP403	Wnt Signaling Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP403&label[]=Csnk1e&colors=steelblue	60	1	0.19736842105263158	5.066666666666666	0.1804386948057103	1	27373	Csnk1e
WP413	G1 to S cell cycle control	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP413&label[]=Prim2&colors=steelblue	61	1	0.2006578947368421	4.983606557377049	0.18317056582302427	1	19076	Prim2
WP488	Alpha6-Beta4 Integrin Signaling Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP488&label[]=Mtor&colors=steelblue	67	1	0.22039473684210525	4.537313432835821	0.1993841276563959	1	56717	Mtor
WP2573	Primary Focal Segmental Glomerulosclerosis FSGS	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2573&label[]=Mme&colors=steelblue	72	1	0.23684210526315788	4.222222222222222	0.2126654511103494	1	17380	Mme
WP1396	Non-odorant GPCRs	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1396&label[]=Mchr1&label[]=Grm4&colors=steelblue	267	2	0.8782894736842105	2.2771535580524347	0.21798483893075393	1	268934;207911	Mchr1;Grm4
WP2075	Alzheimers Disease	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2075&label[]=Mme&colors=steelblue	75	1	0.24671052631578946	4.053333333333334	0.22053524061383178	1	17380	Mme
WP450	IL-2 Signaling Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP450&label[]=Mtor&colors=steelblue	76	1	0.25	4	0.22314214616361838	1	56717	Mtor
WP1560	MicroRNAs in Cardiomyocyte Hypertrophy	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1560&label[]=Mtor&colors=steelblue	82	1	0.26973684210526316	3.7073170731707314	0.23861347778497677	1	56717	Mtor
WP723	Wnt Signaling Pathway and Pluripotency	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP723&label[]=Csnk1e&colors=steelblue	97	1	0.319078947368421	3.1340206185567014	0.2760428715111466	1	27373	Csnk1e
WP295	Electron Transport Chain	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP295&label[]=Uqcrc1&colors=steelblue	103	1	0.3388157894736842	2.951456310679612	0.2905279796384883	1	22273	Uqcrc1
WP539	Wnt Signaling Pathway NetPath	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP539&label[]=Csnk1e&colors=steelblue	108	1	0.35526315789473684	2.814814814814815	0.30239179379253933	1	27373	Csnk1e
WP339	ESC Pluripotency Pathways	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP339&label[]=Mtor&colors=steelblue	118	1	0.3881578947368421	2.576271186440678	0.32556600987661255	1	56717	Mtor
WP65	Insulin Signaling	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP65&label[]=Mtor&colors=steelblue	159	1	0.5230263157894737	1.9119496855345912	0.4132733458551179	1	56717	Mtor
WP2185	Purine metabolism	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2185&label[]=Prim2&colors=steelblue	162	1	0.5328947368421052	1.8765432098765433	0.41925352617821354	1	19076	Prim2
WP1763	PluriNetWork	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1763&label[]=Mtor&colors=steelblue	293	1	0.9638157894736842	1.037542662116041	0.6312951804287509	1	56717	Mtor
WP2841	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2841&label[]=Mtor&colors=steelblue	325	1	1.069078947368421	0.9353846153846154	0.6707244706082819	1	56717	Mtor
WP310	mRNA processing	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP310&label[]=Auh&colors=steelblue	460	1	1.513157894736842	0.6608695652173914	0.7976232026959984	1	11992	Auh
