geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	482	54	14.242720540657128	3.7914104855074657	0	0	11438;11444;11820;11938;12552;12889;13429;13838;13869;14807;14810;16590;17754;17762;18183;18196;18216;18751;18752;18951;19058;19339;19417;20320;20910;20972;20977;20979;20980;22318;54195;54376;54525;56077;56695;56717;56808;65945;69908;76089;76376;80883;81907;99738;108068;110891;207227;208898;213760;224860;232333;235415;243931;268934	Rab3b;Rab3a;Mapt;Syt1;Stxbp1;Grik3;Dnm1;Syp;Rapgef2;Erbb4;Rasgrf1;Prepl;Chrna4;Gucy1b1;Cplx3;Pnkd;Chrnb2;Prkcb;Grin1;Atp2a2;Stxbp5l;Nptn;Clstn1;Tshz3;Plcl2;Slc6a1;Kcnc4;Tmem108;Cacna2d2;Nsg1;Vamp2;Prkcg;Grm4;Nrg3;Kit;Ntsr1;Cplx1;Ppp3r1;Mtor;Grm2;Ntng1;Slc8a2;Epha4;Cacng3;Unc13c;Slc24a2;Dgke;Map1a;Syngr1;App;Syt7;Cdh11;Syt2;Sept5
GO:0099003	vesicle-mediated transport in synapse	http://amigo.geneontology.org/amigo/term/GO:0099003	242	32	7.150909483068517	4.474955259295007	1.0154099783221682e-12	4.122564511988003e-10	11438;11444;11938;12889;13429;18196;18751;18752;18951;19058;19339;20910;20977;20979;20980;22318;26414;27062;54525;64051;64933;65945;72685;104069;207227;208898;213760;229521;232227;235415;268934;320405	Rab3a;Cadps;Syt1;Stxbp1;Dnm1;Syp;Prepl;Dnajc6;Chrna4;Cplx3;Mapk10;Syt11;Chrnb2;Ap3m2;Prkcb;Sncb;Atp2a2;Stxbp5l;Clstn1;Nsg1;Iqsec1;Sv2a;Vamp2;Prkcg;Grm4;Cadps2;Cplx1;Ppp3r1;Unc13c;Syt7;Syt2;Sept5
GO:0099504	synaptic vesicle cycle	http://amigo.geneontology.org/amigo/term/GO:0099504	221	28	6.530376015529513	4.28765509572723	7.78348496766057e-11	2.1067299312467945e-8	11438;11444;11938;12889;13429;18751;18752;18951;19339;20910;20977;20979;20980;22318;22348;27062;54525;64051;69908;72685;104069;207227;208898;213760;229521;235415;268934;320405	Rab3b;Rab3a;Cadps;Syt1;Stxbp1;Slc32a1;Dnm1;Syp;Prepl;Dnajc6;Chrna4;Cplx3;Syt11;Chrnb2;Prkcb;Sncb;Atp2a2;Stxbp5l;Sv2a;Vamp2;Prkcg;Grm4;Cadps2;Cplx1;Unc13c;Syt7;Syt2;Sept5
GO:0006836	neurotransmitter transport	http://amigo.geneontology.org/amigo/term/GO:0006836	289	32	8.539722481846287	3.747194369375058	1.1960810120115184e-10	2.4280444543833823e-8	11438;11444;11938;12889;18216;18751;18752;18951;19276;19339;20910;20977;20979;20980;22318;22348;27062;54525;56695;64051;69908;74136;78830;99738;207227;208898;213760;229521;232333;235415;268934;320405	Rab3b;Rab3a;Cadps;Syt1;Stxbp1;Slc32a1;Syp;Ptprn2;Prepl;Chrna4;Cplx3;Pnkd;Syt11;Chrnb2;Prkcb;Atp2a2;Stxbp5l;Slc6a1;Kcnc4;Slc25a12;Sv2a;Vamp2;Sec14l1;Prkcg;Grm4;Ntsr1;Cadps2;Cplx1;Unc13c;Syt7;Syt2;Sept5
GO:0006887	exocytosis	http://amigo.geneontology.org/amigo/term/GO:0006887	357	35	10.54906894816306	3.317828347884166	4.5691683769888414e-10	7.420329444229878e-8	11438;11444;11938;12889;16590;17918;18195;18751;18752;18951;19142;19339;20844;20910;20972;20977;20979;20980;22318;26950;27062;54525;58994;64051;69908;77579;93692;207227;208898;211446;213760;229521;235415;268934;320405	Rab3b;Rab3a;Cadps;Syt1;Stxbp1;Syp;Prepl;Chrna4;Cplx3;Syt11;Chrnb2;Prkcb;Exoc3;Vsnl1;Glrx;Atp2a2;Nsf;Stxbp5l;Prss12;Sv2a;Vamp2;Myo5a;Prkcg;Grm4;Kit;Myh10;Cadps2;Cplx1;Smpd3;Unc13c;Syngr1;Syt7;Syt2;Stam;Sept5
GO:0001505	regulation of neurotransmitter levels	http://amigo.geneontology.org/amigo/term/GO:0001505	361	34	10.66726579912287	3.1873209724272265	2.3368900148312832e-9	3.1625911534050033e-7	11438;11444;11938;12889;14415;18216;18751;18752;18951;19276;19339;20910;20977;20979;20980;22318;26420;27062;54525;56695;56717;58994;64051;69908;99738;207227;208898;213760;218865;229521;232333;235415;268934;320405	Gad1;Rab3b;Rab3a;Cadps;Syt1;Stxbp1;Mapk9;Syp;Ptprn2;Prepl;Chrna4;Cplx3;Pnkd;Syt11;Chrnb2;Prkcb;Atp2a2;Stxbp5l;Slc6a1;Kcnc4;Sv2a;Chdh;Vamp2;Prkcg;Grm4;Ntsr1;Cadps2;Cplx1;Mtor;Smpd3;Unc13c;Syt7;Syt2;Sept5
GO:0051648	vesicle localization	http://amigo.geneontology.org/amigo/term/GO:0051648	272	28	8.037385865267094	3.483719765278374	9.225285424463436e-9	1.0701331092377586e-6	11438;11444;11938;12889;13191;13426;13429;17918;18751;18752;18951;19339;20910;20977;20979;20980;22318;27062;54525;64051;64933;207227;208898;213760;229521;235415;268934;320405	Rab3a;Cadps;Syt1;Stxbp1;Dnm1;Syp;Prepl;Chrna4;Cplx3;Syt11;Chrnb2;Ap3m2;Prkcb;Atp2a2;Stxbp5l;Sv2a;Vamp2;Dync1i1;Myo5a;Prkcg;Grm4;Dctn1;Cadps2;Cplx1;Unc13c;Syt7;Syt2;Sept5
GO:0015672	monovalent inorganic cation transport	http://amigo.geneontology.org/amigo/term/GO:0015672	488	39	14.420015817096845	2.7045740098121334	1.591470266681938e-8	1.615342320682167e-6	11733;11931;11938;11950;16485;16490;16497;16502;16508;16524;16526;16531;18195;20265;20273;20276;22318;22629;23797;59033;72821;74166;76252;76376;80334;93692;94253;99738;105727;110862;110876;110891;226922;229715;232975;241118;268345;269109;338370	Atp1b1;Kcnab1;Kcnip4;Amigo1;Nalcn;Kcnc1;Slc38a1;Kcnj9;Asic4;Scn2a;Glrx;Atp2a2;Nsf;Kcnc2;Scn2b;Kcnc4;Tmem38a;Scn8a;Kcnq3;Kcnq5;Vamp2;Kcnd2;Hecw1;Dpp10;Slc4a8;Kcnma1;Scn1a;Kcna1;Atp6v0e2;Atp1a3;Kcnk2;Akt3;Ank1;Slc8a2;Slc24a2;Scnn1a;Atp5f1;Ywhah;Kcna2
GO:0034765	regulation of ion transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0034765	439	36	12.972104392839169	2.7751858071596027	3.039330609411195e-8	2.7421516164909894e-6	11438;11931;16485;16490;16497;16502;16508;16524;16531;17918;18216;19417;20265;20273;20866;22063;22318;22629;54376;56089;56717;56808;69635;72821;80334;93692;94253;99738;110862;110876;140743;226922;229715;268345;269109;338370	Atp1b1;Kcnab1;Rasgrf1;Kcnip4;Amigo1;Chrna4;Nalcn;Kcnc1;Kcnj9;Scn2a;Glrx;Kcnc2;Scn2b;Kcnc4;Ramp3;Cacna2d2;Scn8a;Kcnq3;Kcnq5;Vamp2;Kcnd2;Hecw1;Myo5a;Ntsr1;Dpp10;Kcnma1;Scn1a;Kcna1;Mtor;Rem2;Cacng3;Trpc1;Stim1;Ywhah;Kcna2;Dapk1
GO:0007626	locomotory behavior	http://amigo.geneontology.org/amigo/term/GO:0007626	235	24	6.944064993888849	3.4561888492001867	1.2573067942334148e-7	1.020933116917533e-5	11438;11444;11804;11820;13508;13838;14415;14810;16508;16531;17762;17918;17978;18216;20265;20273;26414;53901;54713;57754;80912;109205;232975;545156	Gad1;Mapt;Dscam;Cend1;Chrna4;Mapk10;Fezf2;Chrnb2;Grin1;Ncoa2;Scn8a;Aplp2;Kcnd2;Myo5a;Ntsr1;Kcnma1;Scn1a;Atp1a3;Epha4;Pum1;Kalrn;Sobp;App;Rcan2
