geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0045785	positive regulation of cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0045785	382	60	15.325041340139478	3.9151607273546136	0	0	11629;12400;12505;12512;12571;12667;12774;12977;13132;13430;13731;14115;14268;14726;14732;15040;15170;16149;16190;16194;16195;16362;16402;16403;16412;16416;16453;16852;16859;17909;18073;18806;19264;20194;20750;20963;21687;21803;21813;21838;22324;23871;29875;54519;64074;64075;70839;74048;76088;78317;105855;107581;110829;171285;192176;268780;277360;320404;320484;330662	Thy1;Ptprc;Vsir;Nckap1l;Tgfb1;Tgfbr2;Ptpn6;Havcr2;Rasal3;Cd63;Csf1;Vav1;Col16a1;Dock8;Pdpn;Spp1;Cd74;Apbb1ip;Lgals9;Aif1;P2ry12;Itga6;Ccdc88b;Ccr5;Jak3;Cdk6;Itgb3;Dab2;Il4ra;Lgals1;Il6ra;Gpam;Itgb1;Itga5;Irf1;Fn1;Dnm2;Itpkb;Syk;Ets1;Myo10;H2-T23;Prex1;S100a10;Lims1;Cbfb;Iqgap1;Fbln2;Flna;Cd44;Smoc2;Chrd;Il6st;Pld2;Dock1;Tek;Nid1;Smoc1;Emp2;Egflam
GO:0007229	integrin-mediated signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0007229	83	25	3.329786469192609	7.507988945027422	8.881784197001252e-16	3.6060043839825084e-13	12385;12512;12825;13132;13731;14127;16402;16403;16411;16412;16414;16416;16419;16950;20963;21838;21894;22177;22324;23880;56193;108101;109700;110829;192176	Thy1;Tyrobp;Itgax;Itgb2;Plek;Fcer1g;Itgb5;Cd63;Vav1;Fermt3;Tln1;Fyb;Itga6;Itgb3;Dab2;Itgb1;Itga5;Ctnna1;Syk;Lims1;Flna;Itga1;Col3a1;Emp2;Loxl3
GO:0009611	response to wounding	http://amigo.geneontology.org/amigo/term/GO:0009611	488	61	19.577539722481845	3.11581541218638	1.6653345369377348e-15	4.507505479978136e-13	11491;11629;11747;11816;11853;11891;12306;12335;12385;12476;12495;12505;12527;12633;12825;12842;13010;13713;14127;14173;14268;14580;14595;14609;14726;14775;15170;15368;16402;16416;16779;16852;17096;18024;18173;18595;18753;18792;18826;19128;20692;20720;20963;21788;21803;21813;22371;22695;23871;26362;26570;30955;54381;56193;64074;70839;105782;108101;192176;208647;238505	Gfap;Slc11a1;Plek;Fcer1g;Cd9;Tgfb1;Tgfbr2;Ptpn6;Pros1;Cst3;Axl;Lcp1;Entpd1;Sparc;Prkcd;Fermt3;Pdpn;Lyn;Pik3cg;Plau;Aif1;Apoe;P2ry12;Serpine2;Hmox1;Elk3;Adam17;Rhoc;Capn3;Tfpi;Gpx1;Itgb3;Cflar;Lamb2;Lgals1;Zfp36;B4galt1;Cd151;Itga5;Fn1;Anxa2;Ctnna1;Nfe2l2;Fgf2;Gja1;Syk;Ets1;Col1a1;Cpq;Rab27a;Anxa5;Scrib;Flna;Cd44;Smoc2;Creb3l2;Vwf;Col3a1;Slc7a11;Mtr;Pdgfra
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	279	43	11.192896685599253	3.841722228645572	2.1649348980190553e-14	4.394817842978682e-12	11303;11816;12306;12406;12633;12819;12825;12826;12827;12841;12842;13040;14115;14268;14580;14595;14726;16412;16416;16779;16816;16950;16956;18073;18595;18822;18826;18858;20652;21803;21812;21937;21938;23871;26433;58859;64074;64075;78892;99011;107581;268780;373864	Gfap;Ctss;Tgfb1;Lpl;Lcp1;Col16a1;Tnfrsf1a;Pdpn;Apoe;Col27a1;Pmp22;Tgfbr1;Itgb3;Cflar;Col4a2;Col4a1;Efemp2;Lamb2;B4galt1;Plod3;Itgb1;Col9a3;Fn1;Anxa2;Lcat;Col15a1;Tnfrsf1b;Abca1;Soat1;Ets1;Col1a1;Plod1;Pomt1;Fbln2;Smoc2;Col3a1;Crispld2;Serpinh1;Nid1;Smoc1;Pdgfra;Egflam;Loxl3
GO:0002274	myeloid leukocyte activation	http://amigo.geneontology.org/amigo/term/GO:0002274	194	35	7.782874397871882	4.497053172227765	5.206945985491984e-14	8.456080280438983e-12	11629;11745;12493;12523;12606;12759;13051;14127;14130;14159;15368;16190;16414;16822;16835;16859;17000;17096;18173;18753;18806;19354;20375;20619;20963;21803;21813;22177;22320;23880;57914;94176;170743;171285;216161	Tyrobp;Slc11a1;Itgb2;Cd84;Fcer1g;Tgfb1;Tgfbr2;Fcgr2b;Cx3cr1;Cd37;Tlr7;Havcr2;Spi1;Dock2;Prkcd;Cebpa;Anxa3;Lyn;Fyb;Lgals9;Fes;Aif1;Ltbr;Hmox1;Rac2;Ldlr;Clu;Vamp8;Lcp2;Il4ra;Syk;Crlf2;Pld2;Snap23;Sbno2
GO:0002443	leukocyte mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002443	345	47	13.840678697246387	3.3957872318321125	1.4732659536775827e-13	1.9938199239769954e-11	11745;11891;12010;12259;12260;12262;12268;12523;13032;13036;13731;14127;14129;14130;14159;14972;15040;15170;15216;15368;16149;16190;16331;16414;16453;16768;16783;16859;17096;17969;18173;18439;18477;18753;18806;19264;19354;20619;20963;21803;21938;22030;22320;22324;57914;74048;171285	Slc11a1;C4b;Itgb2;Ptprc;C1qa;Vsir;C1qc;Cd84;C1qb;Fcer1g;Tgfb1;Fcgr2b;Ptpn6;Lag3;Inpp5d;Havcr2;Ctsc;Ctsh;B2m;Vav1;Prkcd;H2-K1;Anxa3;Fcgr1;Lyn;Ncf1;Cd74;Lgals9;Fes;P2rx7;Hmox1;Rac2;Vamp8;Hfe;Jak3;Il4ra;Lamp1;Tnfrsf1b;Syk;Prdx1;H2-T23;Rab27a;Crlf2;Pld2;Snap23;Emp2;Traf2
GO:0031589	cell-substrate adhesion	http://amigo.geneontology.org/amigo/term/GO:0031589	306	41	12.276080235818535	3.33982828495795	9.711120796396244e-12	1.1264900123819643e-9	12512;12571;12825;12842;12977;13132;13430;13731;14115;14268;14726;16402;16403;16412;16414;16416;16419;16852;18073;18792;19354;20194;20750;21687;21838;22319;22371;26362;29875;57278;64074;64075;64099;107581;108101;109700;110829;192176;268780;277360;330662	Thy1;Itgb2;Itgb5;Cd63;Csf1;Axl;Fermt3;Col16a1;Pdpn;Plau;Spp1;Itga6;Parvg;Rac2;Cdk6;Itgb3;Dab2;Lgals1;Itgb1;Itga5;Fn1;Dnm2;Col1a1;Prex1;S100a10;Lims1;Iqgap1;Fbln2;Flna;Smoc2;Vwf;Itga1;Col3a1;Bcam;Dock1;Tek;Nid1;Smoc1;Emp2;Vamp3;Egflam
GO:0006909	phagocytosis	http://amigo.geneontology.org/amigo/term/GO:0006909	167	29	6.699690847652599	4.328557937887665	2.115851938100377e-11	2.052838195728176e-9	11303;11629;11745;11891;13057;13430;14127;14129;14130;14694;15900;16412;16414;16416;17970;18173;18439;19128;19264;20963;21803;22324;26362;83433;94176;104759;105855;233571;330662	Trem2;Slc11a1;Itgb2;Ptprc;Irf8;Nckap1l;Fcer1g;Tgfb1;Fcgr2b;Cyba;Pld4;Pros1;Ncf2;Vav1;Dock2;Axl;Anxa3;Fcgr1;Aif1;P2ry6;P2rx7;Itgb3;Rack1;Itgb1;Dnm2;Syk;Abca1;Rab27a;Dock1
GO:0007159	leukocyte cell-cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0007159	301	40	12.075490689481631	3.3124947903642576	2.2753132711272883e-11	2.052838195728176e-9	11629;12400;12505;13051;14537;14732;15040;15170;15216;16149;16190;16194;16195;16362;16402;16412;16414;16453;16768;16852;16859;16950;17698;19264;19354;20963;21803;21813;21838;23871;74048;76088;78317;93695;94212;105855;108101;171285;320404;320484	Thy1;Gpnmb;Itgb2;Ptprc;Vsir;Nckap1l;Tgfb1;Tgfbr2;Cx3cr1;Ptpn6;Lag3;Msn;Havcr2;Rasal3;Fermt3;Dock8;Cd74;Lgals9;Aif1;Ccdc88b;Rac2;Gcnt1;Hfe;Jak3;Il4ra;Lgals1;Pag1;Il6ra;Gpam;Itgb1;Itga5;Irf1;Itpkb;Syk;Ets1;H2-T23;Cbfb;Cd44;Il6st;Loxl3
GO:0042110	T cell activation	http://amigo.geneontology.org/amigo/term/GO:0042110	458	51	18.374002444460423	2.7756608912053338	3.2552405215824365e-11	2.6432553035249383e-9	11491;11629;11891;12010;12400;12476;12505;12571;14127;14732;15040;15170;15216;16149;16190;16194;16195;16362;16411;16414;16453;16658;16768;16852;16859;16950;17698;18173;18439;18826;19264;19354;20848;20963;21803;21813;21838;21938;22324;54519;74048;76088;78317;93695;94176;94212;105855;171285;277360;320404;320484	Thy1;Gpnmb;Slc11a1;Itgax;Itgb2;Ptprc;Vsir;Nckap1l;Fcer1g;Tgfb1;Tgfbr2;Ptpn6;Lag3;Msn;Havcr2;Rasal3;B2m;Vav1;Dock2;Lcp1;Dock8;Cd74;Stat3;Apbb1ip;Lgals9;Aif1;Mafb;P2rx7;Ccdc88b;Rac2;Adam17;Hfe;Jak3;Cdk6;Il4ra;Lgals1;Pag1;Il6ra;Cd151;Gpam;Irf1;Tnfrsf1b;Itpkb;Syk;H2-T23;Prex1;Rab27a;Cbfb;Cd44;Il6st;Loxl3
