geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
mmu04142	Lysosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu04142+110006+11886+12512+12514+12751+12752+13030+13032+13033+13036+13039+13040+13423+14466+14667+15211+15212+16783+16784+16792+17159+17939+18173+19025+19141+192654+27060+27419+56722+64138+67963+71665+75612+83429	124	34	5.739214501510574	5.924155647266908	0	0	110006;11886;12512;12514;12751;12752;13030;13032;13033;13036;13039;13040;13423;14466;14667;15211;15212;16783;16784;16792;17159;17939;18173;19025;19141;192654;27060;27419;56722;64138;67963;71665;75612;83429	Laptm5;Cd68;Ctsd;Slc11a1;Ctss;Ctsz;Man2b1;Gusb;Hexb;Hexa;Npc2;Ctsc;Ctsa;Ctsh;Cd63;Ctsl;Lgmn;Ctsb;Naglu;Gns;Tcirg1;Gm2a;Tpp1;Fuca1;Gba;Dnase2a;Lamp2;Lamp1;Pla2g15;Asah1;Cln3;Ctns;Naga;Litaf
mmu04380	Osteoclast differentiation	http://www.kegg.jp/kegg-bin/show_pathway?mmu04380+12977+12978+13057+14129+14130+14131+15976+15979+16391+16416+16822+17060+17969+17970+18018+18033+20375+20847+20963+21803+21812+21813+21937+22030+22177+234779+83433	128	27	5.924350453172205	4.557461651436031	1.9161783271215427e-11	3.075466215030076e-9	12977;12978;13057;14129;14130;14131;15976;15979;16391;16416;16822;17060;17969;17970;18018;18033;20375;20847;20963;21803;21812;21813;21937;22030;22177;234779;83433	Tyrobp;Trem2;Fcgr3;Csf1r;Tgfb1;Tgfbr2;Fcgr2b;Cyba;Ncf2;Spi1;Csf1;Fcgr1;Tnfrsf1a;Ncf1;Plcg2;Tgfbr1;Lcp2;Itgb3;Blnk;Stat2;Ifngr1;Nfatc1;Syk;Irf9;Ifnar2;Nfkb1;Traf2
mmu04611	Platelet activation	http://www.kegg.jp/kegg-bin/show_pathway?mmu04611+108101+11513+12825+12842+14127+14678+16412+16416+16801+16822+17096+18796+18797+19224+20619+20963+21391+21894+22320+22371+234779+30955+54519+70839	124	24	5.739214501510574	4.181756927482524	1.6745450581723276e-9	1.7917632122443905e-7	108101;11513;12825;12842;14127;14678;16412;16416;16801;16822;17096;18796;18797;19224;20619;20963;21391;21894;22320;22371;234779;30955;54519;70839	Fcer1g;Tbxas1;Fermt3;Lyn;Pik3cg;Tln1;Apbb1ip;Plcb3;P2ry12;Plcg2;Gnai2;Vamp8;Lcp2;Plcb2;Ptgs1;Adcy7;Itgb3;Itgb1;Arhgef1;Syk;Col1a1;Vwf;Snap23;Col3a1
mmu04666	Fc gamma R-mediated phagocytosis	http://www.kegg.jp/kegg-bin/show_pathway?mmu04666+11867+13430+14129+14130+16331+17096+17909+17969+18753+18806+19264+19354+20963+22324+230837+234779+242687+94176	87	18	4.026706948640483	4.470153956964077	6.49639275707159e-8	5.213355187549951e-6	11867;13430;14129;14130;16331;17096;17909;17969;18753;18806;19264;19354;20963;22324;230837;234779;242687;94176	Ptprc;Fcgr2b;Inpp5d;Vav1;Dock2;Arpc1b;Prkcd;Fcgr1;Lyn;Ncf1;Plcg2;Rac2;Dnm2;Syk;Myo10;Wasf2;Pld2;Asap3
mmu04640	Hematopoietic cell lineage	http://www.kegg.jp/kegg-bin/show_pathway?mmu04640+109700+12489+12493+12505+12527+12977+12978+12982+12986+14129+14998+16190+16194+16402+16403+16409+16416+233274	95	18	4.396978851963746	4.093719939535523	2.666997848121966e-7	1.712212618494302e-5	109700;12489;12493;12505;12527;12977;12978;12982;12986;14129;14998;16190;16194;16402;16403;16409;16416;233274	Csf3r;Csf1r;Cd9;Cd37;Siglech;Csf1;Itgam;Cd33;Fcgr1;Itga6;Itgb3;Il4ra;Il6ra;Csf2ra;Itga5;H2-DMa;Cd44;Itga1
mmu03010	Ribosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu03010+110954+11837+16898+19896+19951+19982+19989+20042+20084+20102+20103+20116+26451+269261+270106+27207+56040+57808+66475+66489+67097+67248+67945+68436+76846	175	25	8.099697885196374	3.086534875046625	4.192434371885767e-7	2.2429523889588854e-5	110954;11837;16898;19896;19951;19982;19989;20042;20084;20102;20103;20116;26451;269261;270106;27207;56040;57808;66475;66489;67097;67248;67945;68436;76846	Rplp0;Rps12;Rps9;Rpl39;Rpl12;Rpl10;Rps4x;Rps11;Rpl34;Rpl36a;Rpl35;Rpl32;Rpl13;Rplp1;Rpl10a;Rps18;Rps10;Rps2;Rpl7;Rpl41;Rpl35a;Rps8;Rpl27a;Rps5;Rps23
mmu05163	Human cytomegalovirus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05163+11513+12010+12571+12774+13712+14673+14678+14701+14707+14964+14972+15040+16154+16194+16416+16801+17869+18018+18033+18595+18796+18797+19354+19766+20848+208647+21356+21937+22030+72512+75547	256	31	11.84870090634441	2.61632057767624	7.42513279861079e-7	3.217411488511124e-5	11513;12010;12571;12774;13712;14673;14678;14701;14707;14964;14972;15040;16154;16194;16416;16801;17869;18018;18033;18595;18796;18797;19354;19766;20848;208647;21356;21937;22030;72512;75547	B2m;H2-K1;Tnfrsf1a;Stat3;Plcb3;Tmem173;H2-D1;Rac2;Ccr5;Gnai2;Il10ra;Plcb2;Tapbp;Adcy7;Cdk6;Gng5;Itgb3;Il6ra;Gng12;Akap13;Arhgef1;Elk1;Nfatc1;H2-T23;Gna12;Ripk1;Creb3l2;Myc;Pdgfra;Nfkb1;Traf2
mmu04145	Phagosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu04145+13039+13040+13057+14129+14130+14131+14964+14972+14998+15040+16402+16409+16412+16414+16416+16419+16783+16784+17534+17969+17970+22319+27060+67951+73710	181	25	8.377401812688822	2.984218801840659	8.01847099940467e-7	3.217411488511124e-5	13039;13040;13057;14129;14130;14131;14964;14972;14998;15040;16402;16409;16412;16414;16416;16419;16783;16784;17534;17969;17970;22319;27060;67951;73710	Ctss;Itgb2;Fcgr3;Itgb5;Fcgr2b;Cyba;Ncf2;Itgam;H2-K1;Fcgr1;Ctsl;Ncf1;Tcirg1;H2-D1;Itgb3;Lamp2;Mrc2;Itgb1;Itga5;Lamp1;Tubb2b;H2-DMa;H2-T23;Tubb6;Vamp3
mmu04512	ECM-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?mmu04512+109700+12505+12826+12827+12841+12842+14268+16402+16403+16404+16412+16416+16419+16779+20750+22371	83	16	3.841570996978852	4.164962722954481	9.726785896724266e-7	3.469220303164988e-5	109700;12505;12826;12827;12841;12842;14268;16402;16403;16404;16412;16416;16419;16779;20750;22371	Itgb5;Spp1;Itga6;Itgb3;Col4a2;Col4a1;Lamb2;Itgb1;Col9a3;Itga5;Fn1;Col1a1;Itga7;Cd44;Vwf;Itga1
mmu05150	Staphylococcus aureus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05150+12259+12260+12262+12267+12268+12628+14129+14130+14131+14998+16409+16414+20345	56	13	2.59190332326284	5.015619171950765	1.1238375409172718e-6	3.607518506344443e-5	12259;12260;12262;12267;12268;12628;14129;14130;14131;14998;16409;16414;20345	C4b;Itgb2;Fcgr3;C1qa;C3ar1;C1qc;C1qb;Fcgr2b;Selplg;Itgam;Fcgr1;Cfh;H2-DMa
mmu05140	Leishmaniasis	http://www.kegg.jp/kegg-bin/show_pathway?mmu05140+13057+13712+14129+14131+14998+15170+15979+16409+16412+16414+17969+17970+18033+21803	67	14	3.101027190332326	4.514633100814466	1.6960141506761062e-6	4.913867847878583e-5	13057;13712;14129;14131;14998;15170;15979;16409;16412;16414;17969;17970;18033;21803	Itgb2;Fcgr3;Tgfb1;Ptpn6;Cyba;Ncf2;Itgam;Fcgr1;Ncf1;Ifngr1;Itgb1;Elk1;H2-DMa;Nfkb1
mmu04810	Regulation of actin cytoskeleton	http://www.kegg.jp/kegg-bin/show_pathway?mmu04810+105855+109700+11867+14173+14268+14673+14701+16402+16403+16404+16409+16411+16412+16414+16416+16419+16801+17698+18595+19241+19354+20430+219140+22324+242687+29875+330662	215	27	9.951057401812688	2.713279494808428	1.9471230183754074e-6	4.913867847878583e-5	105855;109700;11867;14173;14268;14673;14701;16402;16403;16404;16409;16411;16412;16414;16416;16419;16801;17698;18595;19241;19354;20430;219140;22324;242687;29875;330662	Itgax;Itgb2;Nckap1l;Itgb5;Msn;Vav1;Itgam;Arpc1b;Spata13;Itga6;Rac2;Tmsb4x;Itgb3;Gng12;Itgb1;Itga5;Fn1;Arhgef1;Fgf2;Cyfip1;Itga7;Gna12;Wasf2;Iqgap1;Itga1;Dock1;Pdgfra
mmu05200	Pathways in cancer	http://www.kegg.jp/kegg-bin/show_pathway?mmu05200+11513+12385+12571+12606+12826+12827+12978+12982+12986+13618+13712+14173+14268+14673+14678+14701+14707+14860+15368+15976+15979+16164+16190+16194+16195+16403+16412+16453+16779+16801+16973+17869+18024+18033+18131+18595+18796+18797+19354+20375+20847+20848+21803+21812+21813+22030+234779+23871+240168	530	49	24.530513595166163	1.9975121927188533	1.9900399383931955e-6	4.913867847878583e-5	11513;12385;12571;12606;12826;12827;12978;12982;12986;13618;13712;14173;14268;14673;14678;14701;14707;14860;15368;15976;15979;16164;16190;16194;16195;16403;16412;16453;16779;16801;16973;17869;18024;18033;18131;18595;18796;18797;19354;20375;20847;20848;21803;21812;21813;22030;234779;23871;240168	Csf3r;Csf1r;Tgfb1;Tgfbr2;Spi1;Cebpa;Il13ra1;Stat3;Plcb3;Plcg2;Itga6;Tgfbr1;Rasgrp3;Hmox1;Rac2;Gnai2;Notch3;Jak3;Plcb2;Adcy7;Cdk6;Gng5;Stat2;Col4a2;Il4ra;Col4a1;Lamb2;Il6ra;Gng12;Csf2ra;Ifngr1;Itgb1;Fn1;Arhgef1;Ctnna1;Elk1;Nfe2l2;Fgf2;Ets1;Gna12;Ifnar2;Il6st;Myc;Lrp5;Ednrb;Gsta4;Pdgfra;Nfkb1;Traf2
