geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
WP1983	Splicing factor NOVA regulated synaptic proteins	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1983&label[]=Mapk9&label[]=Grin1&label[]=Clstn1&label[]=Aplp2&label[]=Kcnma1&label[]=Ntng1&colors=steelblue	42	6	1.1973684210526314	5.010989010989012	0.00107960259583062	0.10014855689460307	16531;65945;80883;11804;14810;26420	Mapk9;Grin1;Clstn1;Aplp2;Kcnma1;Ntng1
WP434	TCA Cycle	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP434&label[]=Mdh1&label[]=Pdk3&label[]=Dlst&label[]=Idh3g&label[]=Mdh2&colors=steelblue	31	5	0.8837719298245613	5.6575682382134	0.0016320542765366763	0.10014855689460307	78920;15929;17448;17449;236900	Mdh1;Pdk3;Dlst;Idh3g;Mdh2
WP493	MAPK signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP493&label[]=Mapt&label[]=Mapk9&label[]=Stmn1&label[]=Mapk10&label[]=Prkcb&label[]=Pak1&label[]=Prkcg&label[]=Ppp3r1&label[]=Akt3&label[]=Mapk8&label[]=Map3k12&label[]=Ecsit&colors=steelblue	159	12	4.532894736842105	2.647314949201742	0.0017366801773630591	0.10014855689460307	16765;18751;18752;26419;18479;26414;19058;26940;23797;26420;17762;26404	Mapt;Mapk9;Stmn1;Mapk10;Prkcb;Pak1;Prkcg;Ppp3r1;Akt3;Mapk8;Map3k12;Ecsit
WP2075	Alzheimers Disease	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP2075&label[]=Mme&label[]=Mapt&label[]=Calm2&label[]=Grin1&label[]=Atp2a2&label[]=Ppp3r1&label[]=App&colors=steelblue	75	7	2.138157894736842	3.273846153846154	0.005157027647067047	0.19655118887464354	17762;12314;14810;11820;17380;19058;11938	Mme;Mapt;Calm2;Grin1;Atp2a2;Ppp3r1;App
WP662	Amino Acid metabolism	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP662&label[]=Ppm1l&label[]=Got2&label[]=Mdh1&label[]=Bcat1&label[]=Auh&label[]=Dlst&label[]=Mdh2&label[]=Sms&colors=steelblue	96	8	2.7368421052631575	2.9230769230769234	0.0056806701986891195	0.19655118887464354	78920;12035;17448;17449;11992;242083;14719;20603	Ppm1l;Got2;Mdh1;Bcat1;Auh;Dlst;Mdh2;Sms
WP1261	ErbB signaling pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP1261&label[]=Erbb4&label[]=Nrg3&label[]=Mtor&label[]=Akt3&label[]=Mapk8&colors=steelblue	46	5	1.3114035087719298	3.8127090301003346	0.009364994894841328	0.2700240194679249	26419;13869;56717;18183;23797	Erbb4;Nrg3;Mtor;Akt3;Mapk8
WP553	Calcium Regulation in the Cardiac Cell	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP553&label[]=Atp2b3&label[]=Atp1b1&label[]=Prkcb&label[]=Gng4&label[]=Atp2a2&label[]=Prkcg&label[]=Gng3&label[]=Chrm1&label[]=Ywhah&colors=steelblue	148	9	4.219298245614035	2.133056133056133	0.024499115451836917	0.5888992670478919	18751;18752;22629;12669;14706;14704;320707;11938;11931	Atp2b3;Atp1b1;Prkcb;Gng4;Atp2a2;Prkcg;Gng3;Chrm1;Ywhah
WP403	Wnt Signaling Pathway	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP403&label[]=Mapk9&label[]=Mapk10&label[]=Prkcb&label[]=Csnk1e&label[]=Prkcg&colors=steelblue	60	5	1.7105263157894737	2.923076923076923	0.02723233604845743	0.5888992670478919	27373;18751;18752;26414;26420	Mapk9;Mapk10;Prkcb;Csnk1e;Prkcg
WP65	Insulin Signaling	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP65&label[]=Stxbp1&label[]=Mapk9&label[]=Map3k9&label[]=Mapk10&label[]=Prkcb&label[]=Vamp2&label[]=Mtor&label[]=Mapk8&label[]=Map3k12&colors=steelblue	159	9	4.532894736842105	1.9854862119013061	0.03662554015100261	0.7040242717914946	18751;26419;26414;56717;26420;22318;338372;26404;20910	Stxbp1;Mapk9;Map3k9;Mapk10;Prkcb;Vamp2;Mtor;Mapk8;Map3k12
WP544	Exercise-induced Circadian Regulation	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP544&label[]=Nr1d2&label[]=Tubb4a&label[]=Cry1&label[]=Cry2&colors=steelblue	49	4	1.3969298245614035	2.8634222919937207	0.04980493261563568	0.7666590558185808	22153;12953;12952;353187	Nr1d2;Tubb4a;Cry1;Cry2
WP157	Glycolysis and Gluconeogenesis	http://www.wikipathways.org/wpi/PathwayWidget.php?id=WP157&label[]=Got2&label[]=Mdh1&label[]=Ldhb&label[]=Mdh2&colors=steelblue	51	4	1.4539473684210527	2.751131221719457	0.05627505214419348	0.7666590558185808	16832;17448;17449;14719	Got2;Mdh1;Ldhb;Mdh2
