userId	geneSymbol	geneName	entrezgene	gLink
Nalcn	Nalcn	sodium leak channel, non-selective	338370	https://www.ncbi.nlm.nih.gov/gene/?term=338370
Ckmt1	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous	12716	https://www.ncbi.nlm.nih.gov/gene/?term=12716
Slc5a5	Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5	114479	https://www.ncbi.nlm.nih.gov/gene/?term=114479
Bcl11a	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	14025	https://www.ncbi.nlm.nih.gov/gene/?term=14025
Ilf2	Ilf2	interleukin enhancer binding factor 2	67781	https://www.ncbi.nlm.nih.gov/gene/?term=67781
Rnd2	Rnd2	Rho family GTPase 2	11858	https://www.ncbi.nlm.nih.gov/gene/?term=11858
Fndc5	Fndc5	fibronectin type III domain containing 5	384061	https://www.ncbi.nlm.nih.gov/gene/?term=384061
Fbxo9	Fbxo9	f-box protein 9	71538	https://www.ncbi.nlm.nih.gov/gene/?term=71538
Tcf25	Tcf25	transcription factor 25 (basic helix-loop-helix)	66855	https://www.ncbi.nlm.nih.gov/gene/?term=66855
Ergic1	Ergic1	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	67458	https://www.ncbi.nlm.nih.gov/gene/?term=67458
Grik3	Grik3	glutamate receptor, ionotropic, kainate 3	14807	https://www.ncbi.nlm.nih.gov/gene/?term=14807
Idh3g	Idh3g	isocitrate dehydrogenase 3 (NAD+), gamma	15929	https://www.ncbi.nlm.nih.gov/gene/?term=15929
Sf3a1	Sf3a1	splicing factor 3a, subunit 1	67465	https://www.ncbi.nlm.nih.gov/gene/?term=67465
Tiam1	Tiam1	T cell lymphoma invasion and metastasis 1	21844	https://www.ncbi.nlm.nih.gov/gene/?term=21844
Pafah1b2	Pafah1b2	platelet-activating factor acetylhydrolase, isoform 1b, subunit 2	18475	https://www.ncbi.nlm.nih.gov/gene/?term=18475
Foxj2	Foxj2	forkhead box J2	60611	https://www.ncbi.nlm.nih.gov/gene/?term=60611
Pld3	Pld3	phospholipase D family, member 3	18807	https://www.ncbi.nlm.nih.gov/gene/?term=18807
Rab3b	Rab3b	RAB3B, member RAS oncogene family	69908	https://www.ncbi.nlm.nih.gov/gene/?term=69908
Snrnp200	Snrnp200	small nuclear ribonucleoprotein 200 (U5)	320632	https://www.ncbi.nlm.nih.gov/gene/?term=320632
Sst	Sst	somatostatin	20604	https://www.ncbi.nlm.nih.gov/gene/?term=20604
Dlst	Dlst	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	78920	https://www.ncbi.nlm.nih.gov/gene/?term=78920
Pvalb	Pvalb	parvalbumin	19293	https://www.ncbi.nlm.nih.gov/gene/?term=19293
Reep5	Reep5	receptor accessory protein 5	13476	https://www.ncbi.nlm.nih.gov/gene/?term=13476
Tcap	Tcap	titin-cap	21393	https://www.ncbi.nlm.nih.gov/gene/?term=21393
Fam163b	Fam163b	family with sequence similarity 163, member B	109349	https://www.ncbi.nlm.nih.gov/gene/?term=109349
Brms1l	Brms1l	breast cancer metastasis-suppressor 1-like	52592	https://www.ncbi.nlm.nih.gov/gene/?term=52592
Arnt2	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	11864	https://www.ncbi.nlm.nih.gov/gene/?term=11864
Chdh	Chdh	choline dehydrogenase	218865	https://www.ncbi.nlm.nih.gov/gene/?term=218865
Rab11fip4	Rab11fip4	RAB11 family interacting protein 4 (class II)	268451	https://www.ncbi.nlm.nih.gov/gene/?term=268451
Ttpal	Ttpal	tocopherol (alpha) transfer protein-like	76080	https://www.ncbi.nlm.nih.gov/gene/?term=76080
Rhbdl3	Rhbdl3	rhomboid like 3	246104	https://www.ncbi.nlm.nih.gov/gene/?term=246104
Pitpna	Pitpna	phosphatidylinositol transfer protein, alpha	18738	https://www.ncbi.nlm.nih.gov/gene/?term=18738
Vmp1	Vmp1	vacuole membrane protein 1	75909	https://www.ncbi.nlm.nih.gov/gene/?term=75909
Sept8	Sept8	septin 8	20362	https://www.ncbi.nlm.nih.gov/gene/?term=20362
Mapt	Mapt	microtubule-associated protein tau	17762	https://www.ncbi.nlm.nih.gov/gene/?term=17762
Dusp14	Dusp14	dual specificity phosphatase 14	56405	https://www.ncbi.nlm.nih.gov/gene/?term=56405
Pnpo	Pnpo	pyridoxine 5'-phosphate oxidase	103711	https://www.ncbi.nlm.nih.gov/gene/?term=103711
Zbtb4	Zbtb4	zinc finger and BTB domain containing 4	75580	https://www.ncbi.nlm.nih.gov/gene/?term=75580
Ywhah	Ywhah	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	22629	https://www.ncbi.nlm.nih.gov/gene/?term=22629
Mdh2	Mdh2	malate dehydrogenase 2, NAD (mitochondrial)	17448	https://www.ncbi.nlm.nih.gov/gene/?term=17448
Pcmt1	Pcmt1	protein-L-isoaspartate (D-aspartate) O-methyltransferase 1	18537	https://www.ncbi.nlm.nih.gov/gene/?term=18537
