userId	geneSymbol	geneName	entrezgene	gLink
Cst7	Cst7	cystatin F (leukocystatin)	13011	https://www.ncbi.nlm.nih.gov/gene/?term=13011
Ccl6	Ccl6	chemokine (C-C motif) ligand 6	20305	https://www.ncbi.nlm.nih.gov/gene/?term=20305
Thy1	Thy1	thymus cell antigen 1, theta	21838	https://www.ncbi.nlm.nih.gov/gene/?term=21838
Tyrobp	Tyrobp	TYRO protein tyrosine kinase binding protein	22177	https://www.ncbi.nlm.nih.gov/gene/?term=22177
Trem2	Trem2	triggering receptor expressed on myeloid cells 2	83433	https://www.ncbi.nlm.nih.gov/gene/?term=83433
Mpeg1	Mpeg1	macrophage expressed gene 1	17476	https://www.ncbi.nlm.nih.gov/gene/?term=17476
Laptm5	Laptm5	lysosomal-associated protein transmembrane 5	16792	https://www.ncbi.nlm.nih.gov/gene/?term=16792
Ly86	Ly86	lymphocyte antigen 86	17084	https://www.ncbi.nlm.nih.gov/gene/?term=17084
Cd68	Cd68	CD68 antigen	12514	https://www.ncbi.nlm.nih.gov/gene/?term=12514
Gpnmb	Gpnmb	glycoprotein (transmembrane) nmb	93695	https://www.ncbi.nlm.nih.gov/gene/?term=93695
Gfap	Gfap	glial fibrillary acidic protein	14580	https://www.ncbi.nlm.nih.gov/gene/?term=14580
Lyz2	Lyz2	lysozyme 2	17105	https://www.ncbi.nlm.nih.gov/gene/?term=17105
Ctsd	Ctsd	cathepsin D	13033	https://www.ncbi.nlm.nih.gov/gene/?term=13033
Slc11a1	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	18173	https://www.ncbi.nlm.nih.gov/gene/?term=18173
Ctss	Ctss	cathepsin S	13040	https://www.ncbi.nlm.nih.gov/gene/?term=13040
Itgax	Itgax	integrin alpha X	16411	https://www.ncbi.nlm.nih.gov/gene/?term=16411
C4b	C4b	complement component 4B (Chido blood group)	12268	https://www.ncbi.nlm.nih.gov/gene/?term=12268
Ctsz	Ctsz	cathepsin Z	64138	https://www.ncbi.nlm.nih.gov/gene/?term=64138
Itgb2	Itgb2	integrin beta 2	16414	https://www.ncbi.nlm.nih.gov/gene/?term=16414
Man2b1	Man2b1	mannosidase 2, alpha B1	17159	https://www.ncbi.nlm.nih.gov/gene/?term=17159
Plek	Plek	pleckstrin	56193	https://www.ncbi.nlm.nih.gov/gene/?term=56193
Fcgr3	Fcgr3	Fc receptor, IgG, low affinity III	14131	https://www.ncbi.nlm.nih.gov/gene/?term=14131
Csf3r	Csf3r	colony stimulating factor 3 receptor (granulocyte)	12986	https://www.ncbi.nlm.nih.gov/gene/?term=12986
Grn	Grn	granulin	14824	https://www.ncbi.nlm.nih.gov/gene/?term=14824
Ptprc	Ptprc	protein tyrosine phosphatase, receptor type, C	19264	https://www.ncbi.nlm.nih.gov/gene/?term=19264
Lgals3bp	Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein	19039	https://www.ncbi.nlm.nih.gov/gene/?term=19039
Tent5c	Tent5c	terminal nucleotidyltransferase 5C	74645	https://www.ncbi.nlm.nih.gov/gene/?term=74645
C1qa	C1qa	complement component 1, q subcomponent, alpha polypeptide	12259	https://www.ncbi.nlm.nih.gov/gene/?term=12259
Irf8	Irf8	interferon regulatory factor 8	15900	https://www.ncbi.nlm.nih.gov/gene/?term=15900
Gusb	Gusb	glucuronidase, beta	110006	https://www.ncbi.nlm.nih.gov/gene/?term=110006
Hexb	Hexb	hexosaminidase B	15212	https://www.ncbi.nlm.nih.gov/gene/?term=15212
Hexa	Hexa	hexosaminidase A	15211	https://www.ncbi.nlm.nih.gov/gene/?term=15211
AU020206	AU020206	expressed sequence AU020206	100504230	https://www.ncbi.nlm.nih.gov/gene/?term=100504230
C3ar1	C3ar1	complement component 3a receptor 1	12267	https://www.ncbi.nlm.nih.gov/gene/?term=12267
Vsir	Vsir	V-set immunoregulatory receptor	74048	https://www.ncbi.nlm.nih.gov/gene/?term=74048
Myo1f	Myo1f	myosin IF	17916	https://www.ncbi.nlm.nih.gov/gene/?term=17916
Csf1r	Csf1r	colony stimulating factor 1 receptor	12978	https://www.ncbi.nlm.nih.gov/gene/?term=12978
C1qc	C1qc	complement component 1, q subcomponent, C chain	12262	https://www.ncbi.nlm.nih.gov/gene/?term=12262
Cd84	Cd84	CD84 antigen	12523	https://www.ncbi.nlm.nih.gov/gene/?term=12523
C1qb	C1qb	complement component 1, q subcomponent, beta polypeptide	12260	https://www.ncbi.nlm.nih.gov/gene/?term=12260
Olfml3	Olfml3	olfactomedin-like 3	99543	https://www.ncbi.nlm.nih.gov/gene/?term=99543
Nckap1l	Nckap1l	NCK associated protein 1 like	105855	https://www.ncbi.nlm.nih.gov/gene/?term=105855
Fcer1g	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	14127	https://www.ncbi.nlm.nih.gov/gene/?term=14127
Cd9	Cd9	CD9 antigen	12527	https://www.ncbi.nlm.nih.gov/gene/?term=12527
Tgfb1	Tgfb1	transforming growth factor, beta 1	21803	https://www.ncbi.nlm.nih.gov/gene/?term=21803
Tgfbr2	Tgfbr2	transforming growth factor, beta receptor II	21813	https://www.ncbi.nlm.nih.gov/gene/?term=21813
Aspg	Aspg	asparaginase	104816	https://www.ncbi.nlm.nih.gov/gene/?term=104816
Osmr	Osmr	oncostatin M receptor	18414	https://www.ncbi.nlm.nih.gov/gene/?term=18414
Itgb5	Itgb5	integrin beta 5	16419	https://www.ncbi.nlm.nih.gov/gene/?term=16419
Slc14a1	Slc14a1	solute carrier family 14 (urea transporter), member 1	108052	https://www.ncbi.nlm.nih.gov/gene/?term=108052
Cd53	Cd53	CD53 antigen	12508	https://www.ncbi.nlm.nih.gov/gene/?term=12508
Fcgr2b	Fcgr2b	Fc receptor, IgG, low affinity IIb	14130	https://www.ncbi.nlm.nih.gov/gene/?term=14130
Cx3cr1	Cx3cr1	chemokine (C-X3-C motif) receptor 1	13051	https://www.ncbi.nlm.nih.gov/gene/?term=13051
Ptpn6	Ptpn6	protein tyrosine phosphatase, non-receptor type 6	15170	https://www.ncbi.nlm.nih.gov/gene/?term=15170
Lag3	Lag3	lymphocyte-activation gene 3	16768	https://www.ncbi.nlm.nih.gov/gene/?term=16768
Irf5	Irf5	interferon regulatory factor 5	27056	https://www.ncbi.nlm.nih.gov/gene/?term=27056
Unc93b1	Unc93b1	unc-93 homolog B1, TLR signaling regulator	54445	https://www.ncbi.nlm.nih.gov/gene/?term=54445
Cd37	Cd37	CD37 antigen	12493	https://www.ncbi.nlm.nih.gov/gene/?term=12493
Cd180	Cd180	CD180 antigen	17079	https://www.ncbi.nlm.nih.gov/gene/?term=17079
Tlr7	Tlr7	toll-like receptor 7	170743	https://www.ncbi.nlm.nih.gov/gene/?term=170743
Npc2	Npc2	NPC intracellular cholesterol transporter 2	67963	https://www.ncbi.nlm.nih.gov/gene/?term=67963
Inpp5d	Inpp5d	inositol polyphosphate-5-phosphatase D	16331	https://www.ncbi.nlm.nih.gov/gene/?term=16331
Cyba	Cyba	cytochrome b-245, alpha polypeptide	13057	https://www.ncbi.nlm.nih.gov/gene/?term=13057
Pld4	Pld4	phospholipase D family, member 4	104759	https://www.ncbi.nlm.nih.gov/gene/?term=104759
Rnase4	Rnase4	ribonuclease, RNase A family 4	58809	https://www.ncbi.nlm.nih.gov/gene/?term=58809
Tbxas1	Tbxas1	thromboxane A synthase 1, platelet	21391	https://www.ncbi.nlm.nih.gov/gene/?term=21391
Cyth4	Cyth4	cytohesin 4	72318	https://www.ncbi.nlm.nih.gov/gene/?term=72318
Siglech	Siglech	sialic acid binding Ig-like lectin H	233274	https://www.ncbi.nlm.nih.gov/gene/?term=233274
Pros1	Pros1	protein S (alpha)	19128	https://www.ncbi.nlm.nih.gov/gene/?term=19128
Msn	Msn	moesin	17698	https://www.ncbi.nlm.nih.gov/gene/?term=17698
Hcls1	Hcls1	hematopoietic cell specific Lyn substrate 1	15163	https://www.ncbi.nlm.nih.gov/gene/?term=15163
Ncf2	Ncf2	neutrophil cytosolic factor 2	17970	https://www.ncbi.nlm.nih.gov/gene/?term=17970
Havcr2	Havcr2	hepatitis A virus cellular receptor 2	171285	https://www.ncbi.nlm.nih.gov/gene/?term=171285
Ctsc	Ctsc	cathepsin C	13032	https://www.ncbi.nlm.nih.gov/gene/?term=13032
Slc37a2	Slc37a2	solute carrier family 37 (glycerol-3-phosphate transporter), member 2	56857	https://www.ncbi.nlm.nih.gov/gene/?term=56857
Ctsa	Ctsa	cathepsin A	19025	https://www.ncbi.nlm.nih.gov/gene/?term=19025
Spi1	Spi1	spleen focus forming virus (SFFV) proviral integration oncogene	20375	https://www.ncbi.nlm.nih.gov/gene/?term=20375
Ctsh	Ctsh	cathepsin H	13036	https://www.ncbi.nlm.nih.gov/gene/?term=13036
Selplg	Selplg	selectin, platelet (p-selectin) ligand	20345	https://www.ncbi.nlm.nih.gov/gene/?term=20345
Rasal3	Rasal3	RAS protein activator like 3	320484	https://www.ncbi.nlm.nih.gov/gene/?term=320484
Cd63	Cd63	CD63 antigen	12512	https://www.ncbi.nlm.nih.gov/gene/?term=12512
Serpina3n	Serpina3n	serine (or cysteine) peptidase inhibitor, clade A, member 3N	20716	https://www.ncbi.nlm.nih.gov/gene/?term=20716
Tifab	Tifab	TRAF-interacting protein with forkhead-associated domain, family member B	212937	https://www.ncbi.nlm.nih.gov/gene/?term=212937
S100a6	S100a6	S100 calcium binding protein A6 (calcyclin)	20200	https://www.ncbi.nlm.nih.gov/gene/?term=20200
Tmem176b	Tmem176b	transmembrane protein 176B	65963	https://www.ncbi.nlm.nih.gov/gene/?term=65963
Arhgdib	Arhgdib	Rho, GDP dissociation inhibitor (GDI) beta	11857	https://www.ncbi.nlm.nih.gov/gene/?term=11857
Fcrls	Fcrls	Fc receptor-like S, scavenger receptor	80891	https://www.ncbi.nlm.nih.gov/gene/?term=80891
Csf1	Csf1	colony stimulating factor 1 (macrophage)	12977	https://www.ncbi.nlm.nih.gov/gene/?term=12977
Gpr34	Gpr34	G protein-coupled receptor 34	23890	https://www.ncbi.nlm.nih.gov/gene/?term=23890
Aqp4	Aqp4	aquaporin 4	11829	https://www.ncbi.nlm.nih.gov/gene/?term=11829
Cst3	Cst3	cystatin C	13010	https://www.ncbi.nlm.nih.gov/gene/?term=13010
Tcn2	Tcn2	transcobalamin 2	21452	https://www.ncbi.nlm.nih.gov/gene/?term=21452
Hpgds	Hpgds	hematopoietic prostaglandin D synthase	54486	https://www.ncbi.nlm.nih.gov/gene/?term=54486
Ucp2	Ucp2	uncoupling protein 2 (mitochondrial, proton carrier)	22228	https://www.ncbi.nlm.nih.gov/gene/?term=22228
Slco2b1	Slco2b1	solute carrier organic anion transporter family, member 2b1	101488	https://www.ncbi.nlm.nih.gov/gene/?term=101488
Vim	Vim	vimentin	22352	https://www.ncbi.nlm.nih.gov/gene/?term=22352
B2m	B2m	beta-2 microglobulin	12010	https://www.ncbi.nlm.nih.gov/gene/?term=12010
