Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000102348	Gm10568	1	+	3680155	3681788	0.410037	0.083321	0.220472
ENSMUSG00000102269	Gm7357	1	+	4522905	4526737	0.000000	0.000000	0.000000
ENSMUSG00000025900	Rp1	1	-	3999557	4409241	0.062991	0.026329	0.069667
ENSMUSG00000102948	Gm6101	1	-	4256234	4260519	0.000000	0.000000	0.000000
ENSMUSG00000104123	Gm37483	1	-	4363346	4364829	0.000000	0.000000	0.000000
ENSMUSG00000102735	Gm7369	1	+	4610471	4611406	0.119658	0.024315	0.064339
ENSMUSG00000098104	Gm6085	1	-	4687934	4689403	0.051020	0.010367	0.027433
ENSMUSG00000102175	Gm6119	1	-	4692219	4693424	0.202460	0.041141	0.108861
ENSMUSG00000051951	Xkr4	1	-	3205901	3671498	38.016296	13.553810	35.864059
ENSMUSG00000102851	Gm18956	1	+	3252757	3253236	0.295833	0.060115	0.159066
ENSMUSG00000103377	Gm37180	1	-	3365731	3368549	0.265697	0.053991	0.142862
ENSMUSG00000104017	Gm37363	1	-	3375556	3377788	0.067174	0.013650	0.036119
ENSMUSG00000103025	Gm37686	1	-	3464977	3467285	0.000000	0.000000	0.000000
ENSMUSG00000089699	Gm1992	1	+	3466587	3513553	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3512451	3514507	0.145843	0.029636	0.078418
ENSMUSG00000103147	Gm7341	1	+	3531795	3532720	0.080994	0.016458	0.043550
ENSMUSG00000103161	Gm38148	1	-	3592892	3595903	0.198207	0.040277	0.106574
ENSMUSG00000102331	Gm19938	1	-	3647309	3658904	1.289594	0.262051	0.693401
ENSMUSG00000025902	Sox17	1	-	4490931	4497354	4.565301	3.077019	8.141946
ENSMUSG00000104238	Gm37587	1	+	4496551	4499558	0.177923	0.037292	0.098678
ENSMUSG00000103922	Gm6123	1	+	4771131	4772199	3.580449	0.727563	1.925168
ENSMUSG00000033845	Mrpl15	1	-	4773206	4785739	8.769383	5.212759	13.793219
ENSMUSG00000102275	Gm37144	1	-	4778063	4779212	2.953674	0.600200	1.588158
ENSMUSG00000025903	Lypla1	1	+	4807788	4848410	11.301287	6.746246	17.850903
ENSMUSG00000104217	Gm37988	1	+	4807892	4886770	0.267137	0.054283	0.143637
ENSMUSG00000033813	Tcea1	1	+	4857814	4897909	20.423685	19.518700	51.647449
ENSMUSG00000062588	Gm6104	1	-	4880049	4880651	3.807629	0.773727	2.047321
ENSMUSG00000104046	Gm37567	1	+	5307739	5310017	0.032909	0.006687	0.017695
ENSMUSG00000103280	Gm37277	1	-	4905751	4906861	12.943295	2.630135	6.959468
ENSMUSG00000002459	Rgs20	1	-	4909576	5070285	6.756544	9.664024	25.571491
ENSMUSG00000091305	Gm17100	1	-	4927028	4927299	1.584559	0.321989	0.852000
ENSMUSG00000102653	Gm37079	1	-	4938576	4940710	0.755972	0.153617	0.406478
ENSMUSG00000085623	Gm16041	1	+	4970857	4976820	0.360000	0.073154	0.193568
ENSMUSG00000091665	Gm17101	1	+	5063060	5064647	0.328086	0.066669	0.176408
ENSMUSG00000033793	Atp6v1h	1	+	5070018	5162529	58.847176	69.443329	183.750519
ENSMUSG00000025905	Oprk1	1	+	5588466	5606131	13.736227	6.728068	17.802803
ENSMUSG00000033774	Npbwr1	1	-	5913707	5917398	2.809588	0.570921	1.510685
ENSMUSG00000087247	Alkal1	1	+	6359218	6394731	0.410820	0.083480	0.220893
ENSMUSG00000103355	Gm2147	1	+	6380394	6381032	0.000000	0.000000	0.000000
ENSMUSG00000102706	Gm7417	1	-	6382634	6383106	0.000000	0.000000	0.000000
ENSMUSG00000103845	Gm19026	1	-	6429655	6441296	0.962283	0.195540	0.517409
ENSMUSG00000025907	Rb1cc1	1	+	6206197	6276648	14.277290	23.723284	62.772991
ENSMUSG00000090031	4732440D04Rik	1	-	6209866	6215293	0.638321	0.706837	1.870326
ENSMUSG00000103329	Gm42492	1	-	6861237	6864151	0.512864	0.104216	0.275761
ENSMUSG00000102135	Gm37108	1	+	6916559	6923588	1.383759	0.281186	0.744032
ENSMUSG00000033740	St18	1	+	6487231	6860940	1.704540	1.678446	4.441252
ENSMUSG00000048538	Gm9826	1	+	7177739	7179037	1.932127	0.392617	1.038884
ENSMUSG00000051285	Pcmtd1	1	+	7088920	7173628	28.528631	9.273023	24.536880
ENSMUSG00000098201	Gm26983	1	-	7136199	7136586	0.000000	0.000000	0.000000
ENSMUSG00000103509	Gm38372	1	+	7148110	7152137	3.675273	0.746832	1.976154
ENSMUSG00000097797	Gm26901	1	-	7349406	7397869	0.173123	0.666696	1.764111
ENSMUSG00000103411	Gm18300	1	-	9499338	9501522	0.087320	0.017744	0.046951
ENSMUSG00000061024	Rrs1	1	+	9545408	9547455	51.805908	10.527191	27.855471
ENSMUSG00000025909	Sntg1	1	-	8361475	9299878	1.427096	4.353788	11.520340
ENSMUSG00000102647	Gm38024	1	-	8450960	8453491	0.649289	0.131938	0.349116
ENSMUSG00000086235	Gm16284	1	-	8468426	8468825	0.185000	0.037593	0.099472
ENSMUSG00000102253	Gm38259	1	-	8527780	8531313	0.205150	0.041687	0.110307
ENSMUSG00000093970	Gm23358	1	-	8588615	8588724	0.000000	0.000000	0.000000
ENSMUSG00000103884	Gm37005	1	-	8643696	8644859	0.000000	0.000000	0.000000
ENSMUSG00000084353	Gm15452	1	-	8791923	8792162	0.000000	0.000000	0.000000
