geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0045785	positive regulation of cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0045785	382	41	10.463872312890935	3.9182435310769397	5.6288307348495437e-14	4.5706105566978295e-11	12505;12512;12774;12977;13132;13430;13731;14115;14268;14726;14732;15040;16149;16190;16195;16402;16403;16412;16453;16852;16859;17909;18073;20194;20750;20963;21803;21813;29875;54519;64074;64075;76088;78317;105855;107581;171285;277360;320404;320484;330662	Itga5;Lgals9;Tgfb1;Csf1;Havcr2;Smoc1;Syk;Il6st;Nckap1l;Emp2;Smoc2;Cd74;Gpam;Cd63;Itgb1;Fn1;Apbb1ip;Itga6;Pdpn;Spp1;Iqgap1;Il4ra;Jak3;Tgfbr2;Dnm2;Itpkb;Prex1;Col16a1;S100a10;Ccdc88b;Dock8;Rasal3;Dock1;Fbln2;H2-T23;Lgals1;Ccr5;Cd44;Nid1;Dab2;Myo10
GO:0009611	response to wounding	http://amigo.geneontology.org/amigo/term/GO:0009611	488	46	13.36745991803868	3.441192289488404	1.7974510768681284e-13	7.297651372084601e-11	11747;11816;11853;11891;12306;12335;12385;12476;12495;12505;12527;12633;12842;13010;13713;14127;14173;14268;14580;14726;14775;15368;16402;16779;16852;18024;18173;18595;18792;18826;19128;20692;20720;20963;21788;21803;21813;22371;22695;26362;30955;54381;64074;105782;108101;208647	Itga5;Vwf;Rhoc;Axl;Tgfb1;Apoe;Hmox1;Elk3;Nfe2l2;Sparc;Pik3cg;Gfap;Syk;Plau;Lcp1;Scrib;Pros1;Smoc2;Fermt3;Cd151;Cflar;Slc11a1;Fn1;Serpine2;Tfpi;Cst3;Anxa5;Pdpn;Pdgfra;Cd9;Rab27a;Anxa2;Tgfbr2;Fgf2;Ctnna1;Creb3l2;Cpq;Zfp36;Entpd1;Lamb2;Fcer1g;Gpx1;Lgals1;Capn3;Col1a1;Cd44
GO:0002274	myeloid leukocyte activation	http://amigo.geneontology.org/amigo/term/GO:0002274	194	26	5.314113164138328	4.892631977703818	2.000799526058472e-11	5.415497383864931e-9	11745;12493;12606;12759;13051;14127;14130;14159;15368;16190;16414;16822;16835;16859;17000;18173;19354;20375;20963;21803;21813;57914;94176;170743;171285;216161	Itgb2;Lgals9;Spi1;Tgfb1;Lcp2;Hmox1;Dock2;Havcr2;Syk;Clu;Slc11a1;Fcgr2b;Anxa3;Ltbr;Il4ra;Cd37;Ldlr;Tgfbr2;Rac2;Crlf2;Cebpa;Sbno2;Tlr7;Cx3cr1;Fes;Fcer1g
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	279	31	7.642461715436049	4.05628463108778	3.200173459561029e-11	6.496352122908888e-9	11303;11816;12306;12633;12826;12827;12842;13040;14115;14268;14580;14726;16412;16779;18073;18595;18822;18826;18858;20652;21803;21937;21938;26433;58859;64074;64075;78892;99011;107581;373864	Tgfb1;Apoe;Plod3;Abca1;Pmp22;Plod1;Gfap;Smoc1;Lcp1;Smoc2;Efemp2;Itgb1;Cflar;Fn1;Soat1;Pdpn;Tnfrsf1b;Pdgfra;Tnfrsf1a;Col4a1;Col4a2;Crispld2;Anxa2;Ctss;Pomt1;Col16a1;Col27a1;Lamb2;Fbln2;Col1a1;Nid1
GO:0031589	cell-substrate adhesion	http://amigo.geneontology.org/amigo/term/GO:0031589	306	31	8.382054784671794	3.698377163638859	3.3453684267215067e-10	5.432878324995727e-8	12512;12842;12977;13132;13430;13731;14115;14268;14726;16402;16403;16412;16414;16419;16852;18073;18792;19354;20194;20750;22371;26362;29875;57278;64074;64075;64099;107581;108101;277360;330662	Itgb2;Itga5;Vwf;Axl;Bcam;Csf1;Smoc1;Plau;Parvg;Emp2;Itgb5;Smoc2;Fermt3;Cd63;Itgb1;Fn1;Itga6;Pdpn;Spp1;Iqgap1;Rac2;Dnm2;Prex1;Col16a1;S100a10;Dock1;Fbln2;Lgals1;Col1a1;Nid1;Dab2
GO:0006909	phagocytosis	http://amigo.geneontology.org/amigo/term/GO:0006909	167	22	4.5745200949025815	4.809247646439404	1.0205289946441098e-9	1.3811159060850287e-7	11303;11745;11891;13057;13430;14127;14130;14694;15900;16412;16414;18173;18439;19128;20963;21803;26362;94176;104759;105855;233571;330662	Itgb2;Axl;Tgfb1;Cyba;Abca1;Dock2;Rack1;Syk;Nckap1l;Pros1;Itgb1;Slc11a1;Fcgr2b;P2rx7;Anxa3;Rab27a;Dnm2;Irf8;P2ry6;Pld4;Dock1;Fcer1g
GO:0002443	leukocyte mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002443	345	31	9.450355884678984	3.280299745140553	6.242722339067086e-9	6.416292289701531e-7	11745;11891;12010;12259;12260;12262;12268;13036;13731;14127;14130;14159;14972;15040;15368;16149;16190;16414;16453;16768;16783;16859;17969;18173;18439;19354;20963;21803;21938;57914;171285	Itgb2;Lgals9;Tgfb1;Hmox1;Ncf1;Havcr2;Syk;Emp2;Cd74;Slc11a1;Fcgr2b;Tnfrsf1b;P2rx7;Anxa3;Lag3;Il4ra;Jak3;Rab27a;Ctsh;Rac2;Crlf2;C1qa;C1qc;C1qb;Fes;Fcer1g;B2m;H2-K1;H2-T23;C4b;Lamp1
GO:0001525	angiogenesis	http://amigo.geneontology.org/amigo/term/GO:0001525	488	38	13.36745991803868	2.842724065229551	6.3214702361591435e-9	6.416292289701531e-7	11504;11745;12267;12306;12562;12654;12826;12827;13036;13051;13601;13713;13731;14173;14268;14775;15277;15368;16402;16412;16414;18024;18595;18792;20193;20229;20684;20692;20848;20963;21813;21846;21937;30955;64074;69219;242687;243912	Itgb2;Itga5;Hk2;Stat3;Hmox1;Elk3;Nfe2l2;Sparc;Pik3cg;Syk;Plau;Emp2;Adamts1;Smoc2;Sat1;Itgb1;Fn1;Sp100;Ddah1;Wasf2;Pdgfra;Anxa3;Tnfrsf1a;Col4a1;Col4a2;Cdh5;Anxa2;Ctsh;Tgfbr2;Tie1;Hspb6;Fgf2;C3ar1;S100a1;Cx3cr1;Gpx1;Chil1;Ecm1
GO:0042110	T cell activation	http://amigo.geneontology.org/amigo/term/GO:0042110	458	36	12.545689841110072	2.8695113984114435	1.2731959708744967e-8	1.1487056981667681e-6	11891;12010;12476;12505;14127;14732;15040;16149;16190;16195;16414;16453;16658;16768;16852;16859;17698;18173;18439;18826;19354;20848;20963;21803;21813;21938;54519;76088;78317;93695;94176;105855;171285;277360;320404;320484	Itgb2;Lgals9;Tgfb1;Stat3;Dock2;Havcr2;Syk;Il6st;Lcp1;Nckap1l;Cd74;Gpam;Cd151;Slc11a1;Apbb1ip;Tnfrsf1b;P2rx7;Gpnmb;Lag3;Il4ra;Msn;Jak3;Rab27a;Tgfbr2;Rac2;Itpkb;Prex1;Ccdc88b;Dock8;Rasal3;Fcer1g;B2m;H2-T23;Lgals1;Mafb;Cd44
GO:0007159	leukocyte cell-cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0007159	301	28	8.245093105183694	3.3959592260269793	1.6421117243758943e-8	1.3333947201932261e-6	12505;13051;14537;14732;15040;16149;16190;16195;16402;16412;16414;16453;16768;16852;16859;17698;19354;20963;21803;21813;76088;78317;93695;105855;108101;171285;320404;320484	Itgb2;Itga5;Lgals9;Tgfb1;Havcr2;Syk;Il6st;Nckap1l;Cd74;Fermt3;Gpam;Itgb1;Gpnmb;Lag3;Il4ra;Msn;Jak3;Tgfbr2;Rac2;Gcnt1;Itpkb;Ccdc88b;Dock8;Rasal3;Cx3cr1;H2-T23;Lgals1;Cd44
