userId	geneSymbol	geneName	entrezgene	gLink
Rnd2	Rnd2	Rho family GTPase 2	11858	https://www.ncbi.nlm.nih.gov/gene/?term=11858
Ergic1	Ergic1	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	67458	https://www.ncbi.nlm.nih.gov/gene/?term=67458
Sst	Sst	somatostatin	20604	https://www.ncbi.nlm.nih.gov/gene/?term=20604
Pvalb	Pvalb	parvalbumin	19293	https://www.ncbi.nlm.nih.gov/gene/?term=19293
Cacna2d2	Cacna2d2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	56808	https://www.ncbi.nlm.nih.gov/gene/?term=56808
Arnt2	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	11864	https://www.ncbi.nlm.nih.gov/gene/?term=11864
Zbtb4	Zbtb4	zinc finger and BTB domain containing 4	75580	https://www.ncbi.nlm.nih.gov/gene/?term=75580
Mdh2	Mdh2	malate dehydrogenase 2, NAD (mitochondrial)	17448	https://www.ncbi.nlm.nih.gov/gene/?term=17448
Dip2a	Dip2a	disco interacting protein 2 homolog A	64451	https://www.ncbi.nlm.nih.gov/gene/?term=64451
Dnajc27	Dnajc27	DnaJ heat shock protein family (Hsp40) member C27	217378	https://www.ncbi.nlm.nih.gov/gene/?term=217378
Auh	Auh	AU RNA binding protein/enoyl-coenzyme A hydratase	11992	https://www.ncbi.nlm.nih.gov/gene/?term=11992
Habp4	Habp4	hyaluronic acid binding protein 4	56541	https://www.ncbi.nlm.nih.gov/gene/?term=56541
Samd4	Samd4	sterile alpha motif domain containing 4	74480	https://www.ncbi.nlm.nih.gov/gene/?term=74480
Arhgef3	Arhgef3	Rho guanine nucleotide exchange factor (GEF) 3	71704	https://www.ncbi.nlm.nih.gov/gene/?term=71704
Tsc22d1	Tsc22d1	TSC22 domain family, member 1	21807	https://www.ncbi.nlm.nih.gov/gene/?term=21807
Sdr39u1	Sdr39u1	short chain dehydrogenase/reductase family 39U, member 1	654795	https://www.ncbi.nlm.nih.gov/gene/?term=654795
Cby1	Cby1	chibby family member 1, beta catenin antagonist	73739	https://www.ncbi.nlm.nih.gov/gene/?term=73739
